종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액,수급일자,기관순매수,외국인순매수
한미반도체,209500.0,+9.97%,5790612.0,1238347.0,670835.0,042700,https://kr.tradingview.com/symbols/KRX-042700/,"199,679억",2026.02.12,24543,359554
한국금융지주,246500.0,+8.83%,727069.0,180652.0,377466.0,071050,https://kr.tradingview.com/symbols/KRX-071050/,"137,365억",2026.02.12,95056,-63831
DI동일,23550.0,+7.78%,171702.0,3931.0,129625.0,001530,https://kr.tradingview.com/symbols/KRX-001530/,"4,646억",2026.02.12,12809,-17417
한솔케미칼,305000.0,+7.77%,62342.0,18636.0,20009.0,014680,https://kr.tradingview.com/symbols/KRX-014680/,"34,572억",2026.02.12,13411,-3130
SK스퀘어,570000.0,+7.14%,698518.0,393301.0,395925.0,402340,https://kr.tradingview.com/symbols/KRX-402340/,"752,897억",2026.02.12,83214,46558
티씨케이 *,221000.0,+6.76%,105745.0,22106.0,48265.0,064760,https://kr.tradingview.com/symbols/KRX-064760/,"24,706억",2026.02.12,7340,-6498
JB금융지주,34050.0,+6.74%,899735.0,30168.0,935626.0,175330,https://kr.tradingview.com/symbols/KRX-175330/,"64,656억",2026.02.12,186184,-171897
오리온,138600.0,+6.62%,359012.0,49890.0,147575.0,271560,https://kr.tradingview.com/symbols/KRX-271560/,"54,797억",2026.02.12,-77089,162972
영원무역홀딩스,242000.0,+6.61%,25121.0,5925.0,18023.0,009970,https://kr.tradingview.com/symbols/KRX-009970/,"32,668억",2026.02.12,5401,-2074
컴투스 *,37100.0,+6.00%,122189.0,4436.0,23163.0,078340,https://kr.tradingview.com/symbols/KRX-078340/,"4,486억",2026.02.12,27055,-4157
삼성화재,581000.0,+5.83%,119593.0,68049.0,95400.0,000810,https://kr.tradingview.com/symbols/KRX-000810/,"267,325억",2026.02.12,14129,-3522
현대이지웰 *,6110.0,+5.34%,794184.0,4855.0,2661134.0,090850,https://kr.tradingview.com/symbols/KRX-090850/,"1,451억",2026.02.12,25553,205074
금호석유화학,147000.0,+5.08%,194089.0,28348.0,98775.0,011780,https://kr.tradingview.com/symbols/KRX-011780/,"38,267억",2026.02.12,57155,521
신한지주,106000.0,+5.05%,2268330.0,238247.0,1648821.0,055550,https://kr.tradingview.com/symbols/KRX-055550/,"514,625억",2026.02.12,326416,14909
DB손해보험,186700.0,+5.01%,198100.0,36397.0,243197.0,005830,https://kr.tradingview.com/symbols/KRX-005830/,"129,540억",2026.02.12,42590,-44995
무학,9710.0,+4.86%,156559.0,1518.0,61219.0,033920,https://kr.tradingview.com/symbols/KRX-033920/,"2,767억",2026.02.12,2498,13485
삼양식품,1219000.0,+4.55%,101384.0,122863.0,65158.0,003230,https://kr.tradingview.com/symbols/KRX-003230/,"91,827억",2026.02.12,39151,4840
태웅로직스 *,2860.0,+4.38%,3338247.0,9887.0,119611.0,124560,https://kr.tradingview.com/symbols/KRX-124560/,"1,107억",2026.02.12,1,-297772
한화시스템,105800.0,+4.34%,1665398.0,173680.0,828968.0,272210,https://kr.tradingview.com/symbols/KRX-272210/,"199,877억",2026.02.12,411252,-198596
피에스케이 *,59300.0,+4.04%,276997.0,16212.0,233359.0,319660,https://kr.tradingview.com/symbols/KRX-319660/,"17,177억",2026.02.12,30580,-8735
대신증권,36100.0,+3.74%,272582.0,9751.0,287401.0,003540,https://kr.tradingview.com/symbols/KRX-003540/,"18,329억",2026.02.12,105503,-62783
메가스터디교육 *,47600.0,+3.70%,29105.0,1370.0,14558.0,215200,https://kr.tradingview.com/symbols/KRX-215200/,"4,934억",2026.02.12,6798,-5034
KG케미칼,6100.0,+3.57%,356947.0,2143.0,176239.0,001390,https://kr.tradingview.com/symbols/KRX-001390/,"4,101억",2026.02.12,1195,75776
