종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
에스코넥 *,906.0,+29.99%,4657794.0,4187.0,464155.0,096630,https://kr.tradingview.com/symbols/KRX-096630/,719억
우리기술 *,13620.0,+10.28%,107762155.0,1460031.0,48619169.0,032820,https://kr.tradingview.com/symbols/KRX-032820/,"22,715억"
퍼스텍,4995.0,+7.88%,4319317.0,21220.0,544134.0,010820,https://kr.tradingview.com/symbols/KRX-010820/,"2,436억"
제노코 *,29600.0,+7.64%,2460514.0,75733.0,772915.0,361390,https://kr.tradingview.com/symbols/KRX-361390/,"2,784억"
대양전기공업 *,30800.0,+7.50%,127021.0,3851.0,41469.0,108380,https://kr.tradingview.com/symbols/KRX-108380/,"2,947억"
포메탈 *,4980.0,+7.44%,538741.0,2640.0,330298.0,119500,https://kr.tradingview.com/symbols/KRX-119500/,590억
삼미금속 *,15990.0,+6.60%,1391572.0,21918.0,796886.0,012210,https://kr.tradingview.com/symbols/KRX-012210/,"3,548억"
삼양컴텍 *,12660.0,+6.30%,1294859.0,16914.0,175894.0,484590,https://kr.tradingview.com/symbols/KRX-484590/,"5,217억"
비츠로테크 *,10940.0,+4.89%,682305.0,7352.0,413905.0,042370,https://kr.tradingview.com/symbols/KRX-042370/,"2,866억"
한화,119900.0,+4.44%,550364.0,65462.0,282486.0,000880,https://kr.tradingview.com/symbols/KRX-000880/,"89,876억"
한화시스템,105800.0,+4.34%,1665398.0,173680.0,828968.0,272210,https://kr.tradingview.com/symbols/KRX-272210/,"199,877억"
RF머트리얼즈 *,43100.0,+3.11%,281738.0,12247.0,159574.0,327260,https://kr.tradingview.com/symbols/KRX-327260/,"3,638억"
엠앤씨솔루션,135800.0,+3.03%,37811.0,5124.0,29782.0,484870,https://kr.tradingview.com/symbols/KRX-484870/,"12,431억"
기아,166300.0,+2.78%,1797165.0,295295.0,1622428.0,000270,https://kr.tradingview.com/symbols/KRX-000270/,"649,257억"
아이쓰리시스템 *,119600.0,+2.57%,35814.0,4214.0,29445.0,214430,https://kr.tradingview.com/symbols/KRX-214430/,"8,739억"
YTN *,3710.0,+2.34%,406046.0,1502.0,553383.0,040300,https://kr.tradingview.com/symbols/KRX-040300/,"1,769억"
아이티센엔텍 *,1139.0,+2.15%,272363.0,306.0,401199.0,010280,https://kr.tradingview.com/symbols/KRX-010280/,742억
켄코아에어로스페이스 *,26300.0,+2.14%,1208113.0,32628.0,608418.0,274090,https://kr.tradingview.com/symbols/KRX-274090/,"3,519억"
한국항공우주,165500.0,+1.91%,831709.0,137174.0,729401.0,047810,https://kr.tradingview.com/symbols/KRX-047810/,"161,321억"
휴니드,8460.0,+1.81%,194362.0,1631.0,174018.0,005870,https://kr.tradingview.com/symbols/KRX-005870/,"1,194억"
HD한국조선해양,397000.0,+1.79%,230947.0,91640.0,200412.0,009540,https://kr.tradingview.com/symbols/KRX-009540/,"28,969억"
현대로템,206000.0,+1.73%,640539.0,130380.0,494123.0,064350,https://kr.tradingview.com/symbols/KRX-064350/,"224,833억"
STX엔진,33050.0,+1.69%,147944.0,4885.0,203805.0,077970,https://kr.tradingview.com/symbols/KRX-077970/,"13,269억"
한화오션,131800.0,+1.62%,946915.0,124183.0,999891.0,042660,https://kr.tradingview.com/symbols/KRX-042660/,"403,853억"
웨이브일렉트로 *,4830.0,+1.58%,50795.0,242.0,45345.0,095270,https://kr.tradingview.com/symbols/KRX-095270/,694억
풍산,113000.0,+1.25%,225454.0,25294.0,133565.0,103140,https://kr.tradingview.com/symbols/KRX-103140/,"31,667억"
대성하이텍 *,5200.0,+0.97%,173504.0,887.0,371582.0,129920,https://kr.tradingview.com/symbols/KRX-129920/,713억
기산텔레콤 *,2110.0,+0.96%,49912.0,105.0,98403.0,035460,https://kr.tradingview.com/symbols/KRX-035460/,308억
빅텍 *,3965.0,+0.89%,271017.0,1068.0,200025.0,065450,https://kr.tradingview.com/symbols/KRX-065450/,"1,136억"
스페코 *,2605.0,+0.58%,104308.0,271.0,69156.0,013810,https://kr.tradingview.com/symbols/KRX-013810/,382억
