종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
에스코넥 *,906.0,+29.99%,4657794.0,4187.0,464155.0,096630,https://kr.tradingview.com/symbols/KRX-096630/,719억
소프트센 *,328.0,+29.64%,30225432.0,9169.0,405867.0,032680,https://kr.tradingview.com/symbols/KRX-032680/,346억
씨케이솔루션,11880.0,+24.92%,1969192.0,23317.0,169856.0,480370,https://kr.tradingview.com/symbols/KRX-480370/,"1,299억"
에코프로머티,69900.0,+9.91%,2582613.0,179060.0,264347.0,450080,https://kr.tradingview.com/symbols/KRX-450080/,"49,321억"
대한유화,168500.0,+9.56%,118533.0,19607.0,56376.0,006650,https://kr.tradingview.com/symbols/KRX-006650/,"1,952억"
더블유씨피 *,9950.0,+9.22%,1973502.0,19945.0,253492.0,393890,https://kr.tradingview.com/symbols/KRX-393890/,"3,367억"
제이스텍 *,6080.0,+7.99%,430776.0,2571.0,153918.0,090470,https://kr.tradingview.com/symbols/KRX-090470/,"1,063억"
DI동일,23550.0,+7.78%,171702.0,3931.0,129625.0,001530,https://kr.tradingview.com/symbols/KRX-001530/,"4,646억"
한솔케미칼,305000.0,+7.77%,62342.0,18636.0,20009.0,014680,https://kr.tradingview.com/symbols/KRX-014680/,"34,572억"
상신이디피 *,16700.0,+7.40%,1440709.0,24108.0,346095.0,091580,https://kr.tradingview.com/symbols/KRX-091580/,"2,226억"
케이엔에스 *,16420.0,+6.90%,1530229.0,25922.0,1465733.0,432470,https://kr.tradingview.com/symbols/KRX-432470/,"1,440억"
파워로직스 *,6100.0,+6.46%,1682835.0,10134.0,2937467.0,047310,https://kr.tradingview.com/symbols/KRX-047310/,"2,233억"
알멕 *,71100.0,+6.44%,220200.0,15632.0,208879.0,354320,https://kr.tradingview.com/symbols/KRX-354320/,"4,544억"
SK아이이테크놀로지,27350.0,+6.21%,344498.0,9198.0,107189.0,361610,https://kr.tradingview.com/symbols/KRX-361610/,"22,369억"
신성델타테크 *,75700.0,+6.17%,336425.0,24883.0,210613.0,065350,https://kr.tradingview.com/symbols/KRX-065350/,"2,805억"
피엔티 *,53400.0,+6.16%,351466.0,18250.0,190447.0,137400,https://kr.tradingview.com/symbols/KRX-137400/,"12,651억"
성일하이텍 *,65600.0,+5.81%,93689.0,6108.0,39680.0,365340,https://kr.tradingview.com/symbols/KRX-365340/,"8,026억"
코스모화학,17300.0,+5.68%,374624.0,6388.0,143540.0,005420,https://kr.tradingview.com/symbols/KRX-005420/,"6,645억"
케이이엠텍 *,630.0,+4.65%,1175843.0,743.0,308158.0,106080,https://kr.tradingview.com/symbols/KRX-106080/,181억
LG에너지솔루션,410000.0,+4.59%,582840.0,236608.0,187479.0,373220,https://kr.tradingview.com/symbols/KRX-373220/,"959,400억"
펨트론 *,19940.0,+4.40%,238574.0,4791.0,121127.0,168360,https://kr.tradingview.com/symbols/KRX-168360/,"4,245억"
LG화학,336500.0,+4.34%,574681.0,192486.0,393723.0,051910,https://kr.tradingview.com/symbols/KRX-051910/,"237,543억"
포스코퓨처엠,227500.0,+4.12%,632915.0,143509.0,214838.0,003670,https://kr.tradingview.com/symbols/KRX-003670/,"202,353억"
코스모신소재,53300.0,+3.70%,457439.0,24317.0,127392.0,005070,https://kr.tradingview.com/symbols/KRX-005070/,"17,328억"
KG케미칼,6100.0,+3.57%,356947.0,2143.0,176239.0,001390,https://kr.tradingview.com/symbols/KRX-001390/,"4,101억"
애경케미칼,10430.0,+3.57%,680170.0,7108.0,158429.0,161000,https://kr.tradingview.com/symbols/KRX-161000/,"5,074억"
에코프로비엠 *,207000.0,+3.50%,575581.0,117833.0,369839.0,247540,https://kr.tradingview.com/symbols/KRX-247540/,"202,449억"
이수스페셜티케미컬,102700.0,+3.42%,373450.0,37867.0,258281.0,457190,https://kr.tradingview.com/symbols/KRX-457190/,"31,029억"
율촌화학,28500.0,+3.26%,56243.0,1579.0,41113.0,008730,https://kr.tradingview.com/symbols/KRX-008730/,"7,068억"
고려아연,1732000.0,+3.22%,52778.0,90741.0,28883.0,010130,https://kr.tradingview.com/symbols/KRX-010130/,"361,520억"
에코앤드림 *,21250.0,+3.16%,118514.0,2545.0,69068.0,101360,https://kr.tradingview.com/symbols/KRX-101360/,"3,780억"
파인텍 *,784.0,+3.16%,509689.0,397.0,160713.0,131760,https://kr.tradingview.com/symbols/KRX-131760/,340억
롯데에너지머티리얼즈,43800.0,+3.06%,225983.0,9896.0,474204.0,020150,https://kr.tradingview.com/symbols/KRX-020150/,"22,936억"
아바코 *,16520.0,+3.06%,126551.0,2054.0,56881.0,083930,https://kr.tradingview.com/symbols/KRX-083930/,"2,425억"
한빛레이저 *,5010.0,+2.98%,299107.0,1480.0,157126.0,452190,https://kr.tradingview.com/symbols/KRX-452190/,"1,171억"
POSCO홀딩스,383000.0,+2.96%,1511253.0,584607.0,399686.0,005490,https://kr.tradingview.com/symbols/KRX-005490/,"309,973억"
삼아알미늄,29650.0,+2.95%,61358.0,1809.0,42994.0,006110,https://kr.tradingview.com/symbols/KRX-006110/,"4,362억"
신성에스티 *,40150.0,+2.95%,161651.0,6435.0,100350.0,416180,https://kr.tradingview.com/symbols/KRX-416180/,"3,629억"
피엔티엠에스 *,3850.0,+2.94%,84918.0,321.0,87420.0,257370,https://kr.tradingview.com/symbols/KRX-257370/,481억
엔켐 *,79600.0,+2.71%,139087.0,10964.0,112730.0,348370,https://kr.tradingview.com/symbols/KRX-348370/,"17,393억"
후성,8280.0,+2.48%,717252.0,5861.0,405588.0,093370,https://kr.tradingview.com/symbols/KRX-093370/,"8,881억"
SK이노베이션,116300.0,+2.47%,552434.0,63842.0,333667.0,096770,https://kr.tradingview.com/symbols/KRX-096770/,"196,608억"
나노신소재 *,71800.0,+2.43%,82889.0,5947.0,101158.0,121600,https://kr.tradingview.com/symbols/KRX-121600/,"8,768억"
레몬 *,6580.0,+2.33%,109048.0,718.0,76333.0,294140,https://kr.tradingview.com/symbols/KRX-294140/,"1,475억"
동원시스템즈,28750.0,+2.31%,47450.0,1348.0,70186.0,014820,https://kr.tradingview.com/symbols/KRX-014820/,"8,335억"
삼성SDI,385500.0,+2.25%,638957.0,244031.0,367852.0,006400,https://kr.tradingview.com/symbols/KRX-006400/,"31,657억"
미코 *,16820.0,+2.25%,403851.0,6790.0,654226.0,059090,https://kr.tradingview.com/symbols/KRX-059090/,"5,621억"
에이치와이티씨 *,3190.0,+2.24%,13549.0,43.0,8191.0,148930,https://kr.tradingview.com/symbols/KRX-148930/,325억
이랜텍 *,10880.0,+2.16%,205115.0,2230.0,141890.0,054210,https://kr.tradingview.com/symbols/KRX-054210/,"2,752억"
디아이티 *,21350.0,+2.15%,114536.0,2446.0,97935.0,110990,https://kr.tradingview.com/symbols/KRX-110990/,"4,035억"
유일에너테크 *,1431.0,+2.07%,2188195.0,3153.0,1613416.0,340930,https://kr.tradingview.com/symbols/KRX-340930/,986억
에코프로 *,155500.0,+1.97%,1912779.0,294707.0,1350060.0,086520,https://kr.tradingview.com/symbols/KRX-086520/,"211,132억"
대보마그네틱 *,13450.0,+1.89%,20030.0,267.0,15936.0,290670,https://kr.tradingview.com/symbols/KRX-290670/,"1,057억"
새빗켐 *,32850.0,+1.86%,36184.0,1189.0,29148.0,107600,https://kr.tradingview.com/symbols/KRX-107600/,"1,849억"
