종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
에스코넥 *,906.0,+29.99%,4657794.0,4187.0,464155.0,096630,https://kr.tradingview.com/symbols/KRX-096630/,719억
뉴인텍 *,837.0,+29.97%,3038978.0,2451.0,9250916.0,012340,https://kr.tradingview.com/symbols/KRX-012340/,448억
비엠티 *,13510.0,+13.62%,2167602.0,29785.0,41832.0,086670,https://kr.tradingview.com/symbols/KRX-086670/,"1,341억"
덕양에너젠 *,28750.0,+9.32%,5599506.0,162154.0,1565794.0,0001A0,https://kr.tradingview.com/symbols/KRX-000010/,
두산퓨얼셀,36900.0,+9.01%,1601219.0,58487.0,284375.0,336260,https://kr.tradingview.com/symbols/KRX-336260/,"24,167억"
아진전자부품,1179.0,+8.17%,2300130.0,2705.0,692389.0,009320,https://kr.tradingview.com/symbols/KRX-009320/,581억
진성티이씨 *,16710.0,+7.46%,964992.0,16158.0,245195.0,036890,https://kr.tradingview.com/symbols/KRX-036890/,"3,682억"
에스에너지 *,1486.0,+5.17%,1610809.0,2466.0,468751.0,095910,https://kr.tradingview.com/symbols/KRX-095910/,340억
원익머트리얼즈 *,43250.0,+4.34%,125605.0,5494.0,92813.0,104830,https://kr.tradingview.com/symbols/KRX-104830/,"5,453억"
아이에스티이 *,9520.0,+3.82%,292527.0,2794.0,159285.0,212710,https://kr.tradingview.com/symbols/KRX-212710/,916억
대원강업,4260.0,+3.65%,316403.0,1356.0,85834.0,000430,https://kr.tradingview.com/symbols/KRX-000430/,"2,641억"
일진다이아,13730.0,+3.39%,54519.0,735.0,19339.0,081000,https://kr.tradingview.com/symbols/KRX-081000/,"1,950억"
코오롱ENP,11850.0,+2.78%,135735.0,1579.0,131466.0,138490,https://kr.tradingview.com/symbols/KRX-138490/,"4,503억"
디케이락 *,10740.0,+2.78%,147584.0,1565.0,187424.0,105740,https://kr.tradingview.com/symbols/KRX-105740/,"1,092억"
기아,166300.0,+2.78%,1797165.0,295295.0,1622428.0,000270,https://kr.tradingview.com/symbols/KRX-000270/,"649,257억"
모토닉,10870.0,+2.55%,66608.0,719.0,27810.0,009680,https://kr.tradingview.com/symbols/KRX-009680/,"3,049억"
