종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
SKAI *,1963.0,+30.00%,2726390.0,5181.0,291488.0,357880,https://kr.tradingview.com/symbols/KRX-357880/,921억
에스코넥 *,906.0,+29.99%,4657794.0,4187.0,464155.0,096630,https://kr.tradingview.com/symbols/KRX-096630/,719억
CJ ENM *,80000.0,+5.82%,136979.0,10624.0,79206.0,035760,https://kr.tradingview.com/symbols/KRX-035760/,"17,543억"
롯데이노베이트,23650.0,+3.73%,71225.0,1665.0,25349.0,286940,https://kr.tradingview.com/symbols/KRX-286940/,"3,578억"
LG유플러스,17170.0,+3.56%,1608002.0,27690.0,1144682.0,032640,https://kr.tradingview.com/symbols/KRX-032640/,"73,802억"
KT,64300.0,+2.55%,648760.0,42036.0,810440.0,030200,https://kr.tradingview.com/symbols/KRX-030200/,"162,050억"
이랜텍 *,10880.0,+2.16%,205115.0,2230.0,141890.0,054210,https://kr.tradingview.com/symbols/KRX-054210/,"2,752억"
다보링크 *,1542.0,+1.85%,344021.0,519.0,287074.0,340360,https://kr.tradingview.com/symbols/KRX-340360/,787억
디어유 *,42900.0,+1.54%,180830.0,7692.0,165837.0,376300,https://kr.tradingview.com/symbols/KRX-376300/,"1,184억"
주연테크,411.0,+1.23%,157508.0,64.0,321508.0,044380,https://kr.tradingview.com/symbols/KRX-044380/,265억
대성창투 *,1737.0,+1.22%,973217.0,1700.0,456243.0,027830,https://kr.tradingview.com/symbols/KRX-027830/,938억
핑거 *,12150.0,+1.17%,65685.0,793.0,90297.0,163730,https://kr.tradingview.com/symbols/KRX-163730/,"1,143억"
SBS,19010.0,+1.12%,62417.0,1191.0,48007.0,034120,https://kr.tradingview.com/symbols/KRX-034120/,"3,527억"
LG이노텍,253500.0,+1.00%,210626.0,52934.0,348025.0,011070,https://kr.tradingview.com/symbols/KRX-011070/,"59,996억"
위세아이텍 *,6040.0,+1.00%,37309.0,223.0,22889.0,065370,https://kr.tradingview.com/symbols/KRX-065370/,446억
엘엠에스 *,5320.0,+0.76%,19434.0,103.0,8085.0,073110,https://kr.tradingview.com/symbols/KRX-073110/,473억
링크드 *,478.0,+0.63%,373725.0,174.0,333887.0,193250,https://kr.tradingview.com/symbols/KRX-193250/,309억
엠게임 *,5640.0,+0.53%,34166.0,193.0,111276.0,058630,https://kr.tradingview.com/symbols/KRX-058630/,"1,083억"
웨이버스 *,1036.0,+0.39%,356030.0,367.0,253844.0,336060,https://kr.tradingview.com/symbols/KRX-336060/,499억
스코넥 *,1089.0,+0.37%,182791.0,197.0,188104.0,276040,https://kr.tradingview.com/symbols/KRX-276040/,236억
한빛소프트 *,1236.0,+0.24%,80258.0,98.0,82595.0,047080,https://kr.tradingview.com/symbols/KRX-047080/,307억
옵티시스 *,8920.0,+0.22%,37514.0,333.0,50679.0,109080,https://kr.tradingview.com/symbols/KRX-109080/,503억
넵튠 *,5110.0,+0.20%,37591.0,192.0,43856.0,217270,https://kr.tradingview.com/symbols/KRX-217270/,"2,388억"
