종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
현대비앤지스틸,18350.0,+15.12%,3818212.0,70595.0,186433.0,004560,https://kr.tradingview.com/symbols/KRX-004560/,"2,767억"
에코프로머티,69900.0,+9.91%,2582613.0,179060.0,264347.0,450080,https://kr.tradingview.com/symbols/KRX-450080/,"49,321억"
포스코인터내셔널,69000.0,+6.65%,2632754.0,180927.0,406434.0,047050,https://kr.tradingview.com/symbols/KRX-047050/,"121,387억"
LX인터내셔널,45050.0,+5.13%,281817.0,12557.0,200781.0,001120,https://kr.tradingview.com/symbols/KRX-001120/,"17,461억"
LG에너지솔루션,410000.0,+4.59%,582840.0,236608.0,187479.0,373220,https://kr.tradingview.com/symbols/KRX-373220/,"959,400억"
LG화학,336500.0,+4.34%,574681.0,192486.0,393723.0,051910,https://kr.tradingview.com/symbols/KRX-051910/,"237,543억"
POSCO홀딩스,383000.0,+2.96%,1511253.0,584607.0,399686.0,005490,https://kr.tradingview.com/symbols/KRX-005490/,"309,973억"
이상네트웍스 *,6950.0,+2.96%,6754.0,46.0,4158.0,080010,https://kr.tradingview.com/symbols/KRX-080010/,684억
티플랙스 *,3210.0,+1.90%,208569.0,667.0,188618.0,081150,https://kr.tradingview.com/symbols/KRX-081150/,779억
황금에스티,6310.0,+1.77%,217125.0,1390.0,50223.0,032560,https://kr.tradingview.com/symbols/KRX-032560/,"1,073억"
제이스코홀딩스 *,832.0,+1.71%,580931.0,477.0,690155.0,023440,https://kr.tradingview.com/symbols/KRX-023440/,737억
이지트로닉스 *,3495.0,+0.14%,9420.0,33.0,8123.0,377330,https://kr.tradingview.com/symbols/KRX-377330/,284억
삼화전자,2845.0,-1.04%,60552.0,172.0,97292.0,011230,https://kr.tradingview.com/symbols/KRX-011230/,545억
대양금속,1315.0,-2.38%,200391.0,263.0,409119.0,009190,https://kr.tradingview.com/symbols/KRX-009190/,568억
유에스티 *,2180.0,-2.68%,68158.0,149.0,68971.0,263770,https://kr.tradingview.com/symbols/KRX-263770/,517억
다이나믹디자인,420.0,-4.55%,570533.0,243.0,383814.0,145210,https://kr.tradingview.com/symbols/KRX-145210/,177억
