종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
뉴인텍 *,837.0,+29.97%,3038978.0,2451.0,9250916.0,012340,https://kr.tradingview.com/symbols/KRX-012340/,448억
원익IPS *,133400.0,+29.77%,593841.0,67756.0,338109.0,240810,https://kr.tradingview.com/symbols/KRX-240810/,"65,478억"
OCI,86700.0,+9.75%,301191.0,26262.0,82279.0,456040,https://kr.tradingview.com/symbols/KRX-456040/,"7,762억"
삼성물산,334000.0,+5.53%,576053.0,186935.0,331350.0,028260,https://kr.tradingview.com/symbols/KRX-028260/,"567,722억"
에스에너지 *,1486.0,+5.17%,1610809.0,2466.0,468751.0,095910,https://kr.tradingview.com/symbols/KRX-095910/,340억
OCI홀딩스,155600.0,+4.64%,247940.0,38182.0,261744.0,010060,https://kr.tradingview.com/symbols/KRX-010060/,"29,051억"
HD현대에너지솔루션,86900.0,+4.45%,327064.0,28117.0,367232.0,322000,https://kr.tradingview.com/symbols/KRX-322000/,"9,733억"
한화,119900.0,+4.44%,550364.0,65462.0,282486.0,000880,https://kr.tradingview.com/symbols/KRX-000880/,"89,876억"
에스와이 *,3185.0,+3.07%,1282242.0,4090.0,1060109.0,109610,https://kr.tradingview.com/symbols/KRX-109610/,"1,558억"
아바코 *,16520.0,+3.06%,126551.0,2054.0,56881.0,083930,https://kr.tradingview.com/symbols/KRX-083930/,"2,425억"
매커스 *,22950.0,+2.91%,36869.0,846.0,41678.0,093520,https://kr.tradingview.com/symbols/KRX-093520/,"3,250억"
나노신소재 *,71800.0,+2.43%,82889.0,5947.0,101158.0,121600,https://kr.tradingview.com/symbols/KRX-121600/,"8,768억"
씨엔플러스 *,323.0,+2.22%,1650202.0,532.0,1251930.0,115530,https://kr.tradingview.com/symbols/KRX-115530/,220억
코미코 *,107800.0,+1.99%,133608.0,14472.0,125303.0,183300,https://kr.tradingview.com/symbols/KRX-183300/,"11,277억"
엘오티베큠 *,12950.0,+1.33%,139674.0,1796.0,187291.0,083310,https://kr.tradingview.com/symbols/KRX-083310/,"2,306억"
KCC,556000.0,+1.28%,45794.0,25306.0,82978.0,002380,https://kr.tradingview.com/symbols/KRX-002380/,"49,409억"
주성엔지니어링 *,49500.0,+1.23%,1737742.0,87589.0,652289.0,036930,https://kr.tradingview.com/symbols/KRX-036930/,"23,398억"
도화엔지니어링,6690.0,+0.90%,188238.0,1263.0,142449.0,002150,https://kr.tradingview.com/symbols/KRX-002150/,"2,256억"
대성파인텍 *,758.0,+0.66%,502325.0,386.0,293057.0,104040,https://kr.tradingview.com/symbols/KRX-104040/,"1,016억"
LS ELECTRIC,671000.0,+0.60%,166299.0,111481.0,171771.0,010120,https://kr.tradingview.com/symbols/KRX-010120/,"201,300억"
한솔테크닉스,5850.0,+0.52%,152900.0,894.0,139100.0,004710,https://kr.tradingview.com/symbols/KRX-004710/,"1,878억"
혜인,5590.0,+0.36%,250268.0,1404.0,141484.0,003010,https://kr.tradingview.com/symbols/KRX-003010/,711억
코오롱글로벌,9770.0,+0.31%,48352.0,472.0,59057.0,003070,https://kr.tradingview.com/symbols/KRX-003070/,"2,484억"
유니테스트 *,20100.0,+0.25%,755872.0,15427.0,837104.0,086390,https://kr.tradingview.com/symbols/KRX-086390/,"4,248억"
레이크머티리얼즈 *,23750.0,+0.21%,711108.0,16999.0,381960.0,281740,https://kr.tradingview.com/symbols/KRX-281740/,"15,611억"
광명전기,1465.0,+0.21%,372495.0,542.0,347394.0,017040,https://kr.tradingview.com/symbols/KRX-017040/,635억
신성이엔지,2455.0,0.00%,4140421.0,10268.0,4318065.0,011930,https://kr.tradingview.com/symbols/KRX-011930/,"5,054억"
에스폴리텍 *,1254.0,-0.32%,16431.0,21.0,5644.0,050760,https://kr.tradingview.com/symbols/KRX-050760/,205억
지앤비에스 에코 *,3725.0,-0.53%,345315.0,1278.0,397527.0,382800,https://kr.tradingview.com/symbols/KRX-382800/,"1,186억"
SDN *,1255.0,-0.63%,719869.0,900.0,1926711.0,099220,https://kr.tradingview.com/symbols/KRX-099220/,815억
