종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
한미반도체,209500.0,+9.97%,5790612.0,1238347.0,670835.0,042700,https://kr.tradingview.com/symbols/KRX-042700/,"199,679억"
다산솔루에타 *,1250.0,+4.95%,46909.0,57.0,39924.0,154040,https://kr.tradingview.com/symbols/KRX-154040/,224억
제너셈 *,6170.0,+4.75%,421231.0,2640.0,83462.0,217190,https://kr.tradingview.com/symbols/KRX-217190/,812억
레몬 *,6580.0,+2.33%,109048.0,718.0,76333.0,294140,https://kr.tradingview.com/symbols/KRX-294140/,"1,475억"
잉크테크 *,3635.0,+0.69%,57207.0,212.0,38027.0,049550,https://kr.tradingview.com/symbols/KRX-049550/,713억
성우전자 *,2720.0,+0.55%,228133.0,612.0,281190.0,081580,https://kr.tradingview.com/symbols/KRX-081580/,422억
상신전자 *,3190.0,+0.16%,84675.0,270.0,38534.0,263810,https://kr.tradingview.com/symbols/KRX-263810/,508억
프로텍 *,55400.0,0.00%,189221.0,10582.0,281596.0,053610,https://kr.tradingview.com/symbols/KRX-053610/,"6,094억"
켐트로닉스 *,32850.0,-0.30%,158568.0,5228.0,206623.0,089010,https://kr.tradingview.com/symbols/KRX-089010/,"5,367억"
동일기연 *,15380.0,-0.58%,7388.0,113.0,23306.0,032960,https://kr.tradingview.com/symbols/KRX-032960/,541억
아이씨에이치 *,1235.0,-1.44%,69158.0,85.0,205587.0,368600,https://kr.tradingview.com/symbols/KRX-368600/,217억
아모텍 *,10730.0,-4.62%,818659.0,9096.0,2609512.0,052710,https://kr.tradingview.com/symbols/KRX-052710/,"1,568억"
