종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
오리온,138600.0,+6.62%,359012.0,49890.0,147575.0,271560,https://kr.tradingview.com/symbols/KRX-271560/,"54,797억"
삼양홀딩스,68900.0,+5.19%,53329.0,3629.0,58705.0,000070,https://kr.tradingview.com/symbols/KRX-000070/,"5,349억"
모두투어 *,14420.0,+4.42%,640441.0,9160.0,1833155.0,080160,https://kr.tradingview.com/symbols/KRX-080160/,"2,725억"
대한해운,2210.0,+4.25%,6023034.0,13163.0,5395087.0,005880,https://kr.tradingview.com/symbols/KRX-005880/,"7,133억"
고려아연,1732000.0,+3.22%,52778.0,90741.0,28883.0,010130,https://kr.tradingview.com/symbols/KRX-010130/,"361,520억"
POSCO홀딩스,383000.0,+2.96%,1511253.0,584607.0,399686.0,005490,https://kr.tradingview.com/symbols/KRX-005490/,"309,973억"
농심,452500.0,+2.72%,49090.0,22104.0,28882.0,004370,https://kr.tradingview.com/symbols/KRX-004370/,"27,524억"
대한제분,150100.0,+2.53%,5602.0,832.0,3158.0,001130,https://kr.tradingview.com/symbols/KRX-001130/,"2,537억"
오뚜기,405000.0,+2.53%,12944.0,5214.0,6053.0,007310,https://kr.tradingview.com/symbols/KRX-007310/,"16,232억"
한국가스공사,42650.0,+1.31%,343945.0,14647.0,296320.0,036460,https://kr.tradingview.com/symbols/KRX-036460/,"39,371억"
하이트진로,18320.0,+1.27%,294470.0,5363.0,142281.0,000080,https://kr.tradingview.com/symbols/KRX-000080/,"12,848억"
풍산,113000.0,+1.25%,225454.0,25294.0,133565.0,103140,https://kr.tradingview.com/symbols/KRX-103140/,"31,667억"
한탑 *,673.0,+0.90%,122903.0,83.0,89340.0,002680,https://kr.tradingview.com/symbols/KRX-002680/,217억
CJ제일제당,230500.0,+0.88%,100560.0,23030.0,147121.0,097950,https://kr.tradingview.com/symbols/KRX-097950/,"34,700억"
대상,23050.0,+0.66%,194367.0,4494.0,165425.0,001680,https://kr.tradingview.com/symbols/KRX-001680/,"7,986억"
S-Oil,108000.0,+0.56%,333639.0,35904.0,517312.0,010950,https://kr.tradingview.com/symbols/KRX-010950/,"121,589억"
혜인,5590.0,+0.36%,250268.0,1404.0,141484.0,003010,https://kr.tradingview.com/symbols/KRX-003010/,711억
하나투어,51100.0,0.00%,139378.0,7035.0,243410.0,039130,https://kr.tradingview.com/symbols/KRX-039130/,"7,915억"
아시아나항공,7770.0,-0.38%,132317.0,1028.0,145080.0,020560,https://kr.tradingview.com/symbols/KRX-020560/,"16,005억"
대한항공,24800.0,-0.60%,2729130.0,67814.0,3017406.0,003490,https://kr.tradingview.com/symbols/KRX-003490/,"91,319억"
현대제철,33800.0,-1.02%,1067720.0,36147.0,2341831.0,004020,https://kr.tradingview.com/symbols/KRX-004020/,"45,105억"
한국전력,60100.0,-1.48%,2942579.0,178386.0,1790091.0,015760,https://kr.tradingview.com/symbols/KRX-015760/,"385,820억"
대한제당,2825.0,-2.25%,662297.0,1908.0,247488.0,001790,https://kr.tradingview.com/symbols/KRX-001790/,"2,534억"
