종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
JB금융지주,34050.0,+6.74%,899735.0,30168.0,935626.0,175330,https://kr.tradingview.com/symbols/KRX-175330/,"64,656억"
BNK금융지주,21450.0,+5.93%,2473877.0,52590.0,1296767.0,138930,https://kr.tradingview.com/symbols/KRX-138930/,"66,565억"
신한지주,106000.0,+5.05%,2268330.0,238247.0,1648821.0,055550,https://kr.tradingview.com/symbols/KRX-055550/,"514,625억"
기업은행,26150.0,+4.60%,1997114.0,52003.0,1493155.0,024110,https://kr.tradingview.com/symbols/KRX-024110/,"208,527억"
iM금융지주,20250.0,+3.63%,920817.0,18607.0,1153326.0,139130,https://kr.tradingview.com/symbols/KRX-139130/,"32,526억"
우리금융지주,39150.0,+3.43%,3891334.0,151190.0,3883234.0,316140,https://kr.tradingview.com/symbols/KRX-316140/,"287,391억"
하나금융지주,130000.0,+3.34%,1220731.0,156929.0,1263932.0,086790,https://kr.tradingview.com/symbols/KRX-086790/,"361,824억"
KB금융,168500.0,+2.43%,1807434.0,300693.0,2186027.0,105560,https://kr.tradingview.com/symbols/KRX-105560/,"628,253억"
카카오뱅크,28550.0,+1.78%,2588745.0,72449.0,2879681.0,323410,https://kr.tradingview.com/symbols/KRX-323410/,"136,187억"
제주은행,15880.0,-1.85%,841088.0,13479.0,1373355.0,006220,https://kr.tradingview.com/symbols/KRX-006220/,"6,002억"
