종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
한국금융지주,246500.0,+8.83%,727069.0,180652.0,377466.0,071050,https://kr.tradingview.com/symbols/KRX-071050/,"137,365억"
한세예스24홀딩스,4195.0,+2.44%,42732.0,177.0,32936.0,016450,https://kr.tradingview.com/symbols/KRX-016450/,"1,678억"
KB금융,168500.0,+2.43%,1807434.0,300693.0,2186027.0,105560,https://kr.tradingview.com/symbols/KRX-105560/,"628,253억"
이니텍 *,3960.0,+2.19%,81234.0,322.0,226479.0,053350,https://kr.tradingview.com/symbols/KRX-053350/,912억
카카오뱅크,28550.0,+1.78%,2588745.0,72449.0,2879681.0,323410,https://kr.tradingview.com/symbols/KRX-323410/,"136,187억"
엑셈 *,2115.0,0.00%,316165.0,667.0,432725.0,205100,https://kr.tradingview.com/symbols/KRX-205100/,"1,511억"
카카오,58800.0,-0.17%,7881922.0,475687.0,1673583.0,035720,https://kr.tradingview.com/symbols/KRX-035720/,"26,252억"
인포뱅크 *,5560.0,-0.18%,21319.0,118.0,46821.0,039290,https://kr.tradingview.com/symbols/KRX-039290/,483억
알서포트 *,2385.0,-0.42%,53248.0,127.0,83296.0,131370,https://kr.tradingview.com/symbols/KRX-131370/,"1,270억"
예스24 *,3675.0,-0.54%,36425.0,134.0,79845.0,053280,https://kr.tradingview.com/symbols/KRX-053280/,919억
드림시큐리티 *,1712.0,-1.10%,418391.0,716.0,644066.0,203650,https://kr.tradingview.com/symbols/KRX-203650/,"1,637억"
