종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
태광산업,1187000.0,+25.21%,18135.0,19936.0,2425.0,003240,https://kr.tradingview.com/symbols/KRX-003240/,"13,216억"
대한유화,168500.0,+9.56%,118533.0,19607.0,56376.0,006650,https://kr.tradingview.com/symbols/KRX-006650/,"1,952억"
금호석유화학,147000.0,+5.08%,194089.0,28348.0,98775.0,011780,https://kr.tradingview.com/symbols/KRX-011780/,"38,267억"
LG화학,336500.0,+4.34%,574681.0,192486.0,393723.0,051910,https://kr.tradingview.com/symbols/KRX-051910/,"237,543억"
애경케미칼,10430.0,+3.57%,680170.0,7108.0,158429.0,161000,https://kr.tradingview.com/symbols/KRX-161000/,"5,074억"
티케이케미칼 *,1849.0,+3.01%,547407.0,997.0,442525.0,104480,https://kr.tradingview.com/symbols/KRX-104480/,"1,681억"
롯데케미칼,82000.0,+2.50%,297100.0,24561.0,282128.0,011170,https://kr.tradingview.com/symbols/KRX-011170/,"35,076억"
SK이노베이션,116300.0,+2.47%,552434.0,63842.0,333667.0,096770,https://kr.tradingview.com/symbols/KRX-096770/,"196,608억"
삼양사,51400.0,+1.98%,35033.0,1792.0,23926.0,145990,https://kr.tradingview.com/symbols/KRX-145990/,"5,301억"
코오롱인더,62700.0,+1.95%,327969.0,20444.0,304376.0,120110,https://kr.tradingview.com/symbols/KRX-120110/,"17,254억"
동성케미컬,4500.0,+1.81%,310593.0,1404.0,115030.0,102260,https://kr.tradingview.com/symbols/KRX-102260/,"2,258억"
이수화학,8990.0,+1.01%,186112.0,1668.0,190610.0,005950,https://kr.tradingview.com/symbols/KRX-005950/,"2,364억"
KPX케미칼,51300.0,+0.79%,5702.0,291.0,7547.0,025000,https://kr.tradingview.com/symbols/KRX-025000/,"2,246억"
SKC,109700.0,0.00%,205003.0,22514.0,196603.0,011790,https://kr.tradingview.com/symbols/KRX-011790/,"41,542억"
SK케미칼,64000.0,-0.47%,81645.0,5234.0,101908.0,285130,https://kr.tradingview.com/symbols/KRX-285130/,"11,071억"
그린케미칼,6270.0,-0.63%,37188.0,234.0,30120.0,083420,https://kr.tradingview.com/symbols/KRX-083420/,"1,505억"
한화솔루션,47550.0,-0.94%,6903775.0,323791.0,14317365.0,009830,https://kr.tradingview.com/symbols/KRX-009830/,"81,735억"
