종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
소프트센 *,328.0,+29.64%,30225432.0,9169.0,405867.0,032680,https://kr.tradingview.com/symbols/KRX-032680/,346억
LG에너지솔루션,410000.0,+4.59%,582840.0,236608.0,187479.0,373220,https://kr.tradingview.com/symbols/KRX-373220/,"959,400억"
SK이노베이션,116300.0,+2.47%,552434.0,63842.0,333667.0,096770,https://kr.tradingview.com/symbols/KRX-096770/,"196,608억"
엘앤에프,118700.0,+1.71%,390148.0,46152.0,184750.0,066970,https://kr.tradingview.com/symbols/KRX-066970/,"47,765억"
탑머티리얼 *,21450.0,+0.70%,13941.0,297.0,14495.0,360070,https://kr.tradingview.com/symbols/KRX-360070/,"1,747억"
EG *,6230.0,+0.65%,63378.0,392.0,60210.0,037370,https://kr.tradingview.com/symbols/KRX-037370/,537억
아모그린텍 *,7480.0,+0.40%,39840.0,296.0,82625.0,125210,https://kr.tradingview.com/symbols/KRX-125210/,"1,234억"
코윈테크 *,17900.0,+0.39%,75000.0,1348.0,49678.0,282880,https://kr.tradingview.com/symbols/KRX-282880/,"2,053억"
파워넷 *,3015.0,-0.50%,225422.0,681.0,165669.0,037030,https://kr.tradingview.com/symbols/KRX-037030/,760억
브이티 *,20350.0,-0.97%,359443.0,7376.0,324735.0,018290,https://kr.tradingview.com/symbols/KRX-018290/,"7,111억"
팬스타엔터프라이즈 *,734.0,-1.61%,1797823.0,1318.0,3984595.0,054300,https://kr.tradingview.com/symbols/KRX-054300/,850억
씨아이에스 *,12420.0,-6.69%,3932305.0,48810.0,1881950.0,222080,https://kr.tradingview.com/symbols/KRX-222080/,"9,610억"
