종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
현대비앤지스틸,18350.0,+15.12%,3818212.0,70595.0,186433.0,004560,https://kr.tradingview.com/symbols/KRX-004560/,"2,767억"
이렘 *,674.0,+8.01%,8939966.0,6360.0,611581.0,009730,https://kr.tradingview.com/symbols/KRX-009730/,417억
DI동일,23550.0,+7.78%,171702.0,3931.0,129625.0,001530,https://kr.tradingview.com/symbols/KRX-001530/,"4,646억"
알멕 *,71100.0,+6.44%,220200.0,15632.0,208879.0,354320,https://kr.tradingview.com/symbols/KRX-354320/,"4,544억"
포스코엠텍 *,20200.0,+3.80%,475491.0,9477.0,172605.0,009520,https://kr.tradingview.com/symbols/KRX-009520/,"8,412억"
고려아연,1732000.0,+3.22%,52778.0,90741.0,28883.0,010130,https://kr.tradingview.com/symbols/KRX-010130/,"361,520억"
대호에이엘,714.0,+3.18%,15846765.0,11338.0,65432055.0,069460,https://kr.tradingview.com/symbols/KRX-069460/,622억
삼아알미늄,29650.0,+2.95%,61358.0,1809.0,42994.0,006110,https://kr.tradingview.com/symbols/KRX-006110/,"4,362억"
티플랙스 *,3210.0,+1.90%,208569.0,667.0,188618.0,081150,https://kr.tradingview.com/symbols/KRX-081150/,779억
황금에스티,6310.0,+1.77%,217125.0,1390.0,50223.0,032560,https://kr.tradingview.com/symbols/KRX-032560/,"1,073억"
영풍,60300.0,+1.69%,54646.0,3270.0,31851.0,000670,https://kr.tradingview.com/symbols/KRX-000670/,"1,901억"
대창,1448.0,+1.69%,1888488.0,2726.0,9889387.0,012800,https://kr.tradingview.com/symbols/KRX-012800/,"1,320억"
풍산,113000.0,+1.25%,225454.0,25294.0,133565.0,103140,https://kr.tradingview.com/symbols/KRX-103140/,"31,667억"
태경산업,4940.0,+1.23%,85350.0,421.0,92656.0,015890,https://kr.tradingview.com/symbols/KRX-015890/,"1,444억"
이구산업,5540.0,+0.91%,224390.0,1244.0,377173.0,025820,https://kr.tradingview.com/symbols/KRX-025820/,"1,853억"
한주라이트메탈 *,700.0,+0.57%,241708.0,167.0,204920.0,198940,https://kr.tradingview.com/symbols/KRX-198940/,272억
쎄니트 *,1833.0,+0.38%,10434.0,19.0,20404.0,037760,https://kr.tradingview.com/symbols/KRX-037760/,620억
서원,1252.0,+0.24%,449921.0,564.0,926802.0,021050,https://kr.tradingview.com/symbols/KRX-021050/,594억
풍산홀딩스,40100.0,+0.12%,21221.0,849.0,18638.0,005810,https://kr.tradingview.com/symbols/KRX-005810/,"5,781억"
조일알미늄,1270.0,0.00%,551101.0,697.0,486778.0,018470,https://kr.tradingview.com/symbols/KRX-018470/,"1,608억"
국일신동 *,1640.0,0.00%,40457.0,66.0,118970.0,060480,https://kr.tradingview.com/symbols/KRX-060480/,182억
피제이메탈 *,3165.0,-0.47%,108857.0,344.0,121670.0,128660,https://kr.tradingview.com/symbols/KRX-128660/,785억
그린플러스 *,5130.0,-0.97%,47276.0,242.0,77088.0,186230,https://kr.tradingview.com/symbols/KRX-186230/,560억
남선알미늄,1281.0,-1.23%,1276928.0,1634.0,1636986.0,008350,https://kr.tradingview.com/symbols/KRX-008350/,"1,654억"
알루코,2315.0,-1.70%,804811.0,1866.0,1713087.0,001780,https://kr.tradingview.com/symbols/KRX-001780/,"2,242억"
대양금속,1315.0,-2.38%,200391.0,263.0,409119.0,009190,https://kr.tradingview.com/symbols/KRX-009190/,568억
