종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
대동금속 *,8160.0,+9.53%,2257658.0,19276.0,379780.0,020400,https://kr.tradingview.com/symbols/KRX-020400/,260억
포메탈 *,4980.0,+7.44%,538741.0,2640.0,330298.0,119500,https://kr.tradingview.com/symbols/KRX-119500/,590억
TYM,7940.0,+4.89%,1313467.0,10260.0,881658.0,002900,https://kr.tradingview.com/symbols/KRX-002900/,"3,287억"
KG케미칼,6100.0,+3.57%,356947.0,2143.0,176239.0,001390,https://kr.tradingview.com/symbols/KRX-001390/,"4,101억"
롯데정밀화학,49150.0,+2.50%,63934.0,3122.0,52367.0,004000,https://kr.tradingview.com/symbols/KRX-004000/,"12,681억"
아세아텍 *,2010.0,+2.29%,145261.0,290.0,47200.0,050860,https://kr.tradingview.com/symbols/KRX-050860/,452억
대동기어 *,25700.0,+1.78%,4432308.0,120254.0,3433079.0,008830,https://kr.tradingview.com/symbols/KRX-008830/,"2,310억"
경농,9750.0,+1.56%,117168.0,1141.0,233536.0,002100,https://kr.tradingview.com/symbols/KRX-002100/,"1,903억"
대동,11800.0,+1.20%,3692905.0,45135.0,854949.0,000490,https://kr.tradingview.com/symbols/KRX-000490/,"3,402억"
그린생명과학 *,3020.0,+1.17%,424419.0,1273.0,349350.0,114450,https://kr.tradingview.com/symbols/KRX-114450/,604억
우듬지팜 *,1501.0,+1.08%,204751.0,308.0,98381.0,403490,https://kr.tradingview.com/symbols/KRX-403490/,689억
남해화학,7360.0,+0.96%,270850.0,1978.0,285309.0,025860,https://kr.tradingview.com/symbols/KRX-025860/,"3,656억"
농우바이오 *,8400.0,+0.84%,51414.0,431.0,62791.0,054050,https://kr.tradingview.com/symbols/KRX-054050/,"1,347억"
누보 *,1272.0,+0.63%,379324.0,484.0,456848.0,332290,https://kr.tradingview.com/symbols/KRX-332290/,508억
SB성보,2720.0,0.00%,11954.0,32.0,17935.0,003080,https://kr.tradingview.com/symbols/KRX-003080/,545억
효성오앤비 *,6280.0,0.00%,38398.0,241.0,53521.0,097870,https://kr.tradingview.com/symbols/KRX-097870/,533억
인바이오 *,2105.0,0.00%,9667.0,20.0,14144.0,352940,https://kr.tradingview.com/symbols/KRX-352940/,229억
동방아그로,5890.0,-0.34%,14644.0,86.0,19423.0,007590,https://kr.tradingview.com/symbols/KRX-007590/,802억
아시아종묘 *,2210.0,-0.67%,123519.0,272.0,349796.0,154030,https://kr.tradingview.com/symbols/KRX-154030/,267억
그린플러스 *,5130.0,-0.97%,47276.0,242.0,77088.0,186230,https://kr.tradingview.com/symbols/KRX-186230/,560억
우림피티에스 *,16230.0,-2.52%,259543.0,4212.0,482731.0,101170,https://kr.tradingview.com/symbols/KRX-101170/,"2,191억"
조비,14510.0,-2.88%,300603.0,4432.0,1829066.0,001550,https://kr.tradingview.com/symbols/KRX-001550/,753억
