종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
소프트센 *,328.0,+29.64%,30225432.0,9169.0,405867.0,032680,https://kr.tradingview.com/symbols/KRX-032680/,346억
씨케이솔루션,11880.0,+24.92%,1969192.0,23317.0,169856.0,480370,https://kr.tradingview.com/symbols/KRX-480370/,"1,299억"
케이엔에스 *,16420.0,+6.90%,1530229.0,25922.0,1465733.0,432470,https://kr.tradingview.com/symbols/KRX-432470/,"1,440억"
피엔티 *,53400.0,+6.16%,351466.0,18250.0,190447.0,137400,https://kr.tradingview.com/symbols/KRX-137400/,"12,651억"
펨트론 *,19940.0,+4.40%,238574.0,4791.0,121127.0,168360,https://kr.tradingview.com/symbols/KRX-168360/,"4,245억"
파인텍 *,784.0,+3.16%,509689.0,397.0,160713.0,131760,https://kr.tradingview.com/symbols/KRX-131760/,340억
아바코 *,16520.0,+3.06%,126551.0,2054.0,56881.0,083930,https://kr.tradingview.com/symbols/KRX-083930/,"2,425억"
한빛레이저 *,5010.0,+2.98%,299107.0,1480.0,157126.0,452190,https://kr.tradingview.com/symbols/KRX-452190/,"1,171억"
피엔티엠에스 *,3850.0,+2.94%,84918.0,321.0,87420.0,257370,https://kr.tradingview.com/symbols/KRX-257370/,481억
에이치와이티씨 *,3190.0,+2.24%,13549.0,43.0,8191.0,148930,https://kr.tradingview.com/symbols/KRX-148930/,325억
디아이티 *,21350.0,+2.15%,114536.0,2446.0,97935.0,110990,https://kr.tradingview.com/symbols/KRX-110990/,"4,035억"
유일에너테크 *,1431.0,+2.07%,2188195.0,3153.0,1613416.0,340930,https://kr.tradingview.com/symbols/KRX-340930/,986억
대보마그네틱 *,13450.0,+1.89%,20030.0,267.0,15936.0,290670,https://kr.tradingview.com/symbols/KRX-290670/,"1,057억"
민테크 *,2580.0,+1.78%,67164.0,172.0,104970.0,452200,https://kr.tradingview.com/symbols/KRX-452200/,612억
원익피앤이 *,4300.0,+1.65%,238333.0,1019.0,289047.0,217820,https://kr.tradingview.com/symbols/KRX-217820/,"2,041억"
에스에프에이 *,32000.0,+1.43%,96130.0,3041.0,91210.0,056190,https://kr.tradingview.com/symbols/KRX-056190/,"11,491억"
윤성에프앤씨 *,35000.0,+1.30%,22287.0,782.0,12159.0,372170,https://kr.tradingview.com/symbols/KRX-372170/,"2,793억"
지아이텍 *,2350.0,+1.29%,175231.0,411.0,444394.0,382480,https://kr.tradingview.com/symbols/KRX-382480/,925억
탑엔지니어링 *,3740.0,+1.08%,44151.0,165.0,112053.0,065130,https://kr.tradingview.com/symbols/KRX-065130/,599억
원준 *,10080.0,+1.00%,131837.0,1329.0,134956.0,382840,https://kr.tradingview.com/symbols/KRX-382840/,"1,539억"
대성하이텍 *,5200.0,+0.97%,173504.0,887.0,371582.0,129920,https://kr.tradingview.com/symbols/KRX-129920/,713억
필에너지 *,15840.0,+0.96%,77401.0,1221.0,93735.0,378340,https://kr.tradingview.com/symbols/KRX-378340/,"3,400억"
티에스아이 *,5810.0,+0.87%,103348.0,598.0,65224.0,277880,https://kr.tradingview.com/symbols/KRX-277880/,"1,174억"
엠플러스 *,12980.0,+0.85%,158031.0,2056.0,177139.0,259630,https://kr.tradingview.com/symbols/KRX-259630/,"1,582억"
한울반도체 *,2070.0,+0.73%,267441.0,546.0,339757.0,320000,https://kr.tradingview.com/symbols/KRX-320000/,681억
케이지에이 *,3540.0,+0.57%,46412.0,164.0,68793.0,455180,https://kr.tradingview.com/symbols/KRX-455180/,494억
HB테크놀러지 *,2160.0,+0.47%,1554247.0,3368.0,1517359.0,078150,https://kr.tradingview.com/symbols/KRX-078150/,"2,003억"
코윈테크 *,17900.0,+0.39%,75000.0,1348.0,49678.0,282880,https://kr.tradingview.com/symbols/KRX-282880/,"2,053억"
엔시스 *,6450.0,+0.31%,20749.0,134.0,15402.0,333620,https://kr.tradingview.com/symbols/KRX-333620/,681억
쎄크 *,15960.0,+0.19%,171205.0,2756.0,333844.0,081180,https://kr.tradingview.com/symbols/KRX-081180/,"1,409억"
에이프로 *,5640.0,+0.18%,64333.0,367.0,45731.0,262260,https://kr.tradingview.com/symbols/KRX-262260/,816억
우신시스템,6930.0,+0.14%,54787.0,378.0,52726.0,017370,https://kr.tradingview.com/symbols/KRX-017370/,"1,269억"
티이엠씨씨엔에스 *,7530.0,+0.13%,22108.0,167.0,31609.0,241790,https://kr.tradingview.com/symbols/KRX-241790/,753억
하나기술 *,31300.0,0.00%,43742.0,1374.0,38441.0,299030,https://kr.tradingview.com/symbols/KRX-299030/,"2,502억"
필옵틱스 *,49300.0,-0.10%,270939.0,13383.0,660138.0,161580,https://kr.tradingview.com/symbols/KRX-161580/,"11,538억"
디이엔티 *,5390.0,-0.37%,64638.0,349.0,84578.0,079810,https://kr.tradingview.com/symbols/KRX-079810/,"1,160억"
나인테크 *,3675.0,-0.41%,4808607.0,17672.0,4400187.0,267320,https://kr.tradingview.com/symbols/KRX-267320/,"2,110억"
코세스 *,22500.0,-0.44%,153715.0,3448.0,153280.0,089890,https://kr.tradingview.com/symbols/KRX-089890/,"3,732억"
브이원텍 *,7280.0,-0.68%,133706.0,960.0,63937.0,251630,https://kr.tradingview.com/symbols/KRX-251630/,"1,161억"
강원에너지 *,15590.0,-1.14%,128883.0,2020.0,119473.0,114190,https://kr.tradingview.com/symbols/KRX-114190/,"4,073억"
톱텍 *,4715.0,-1.46%,140678.0,667.0,197939.0,108230,https://kr.tradingview.com/symbols/KRX-108230/,"1,793억"
엠오티 *,9080.0,-1.73%,110422.0,1007.0,125062.0,413390,https://kr.tradingview.com/symbols/KRX-413390/,"1,051억"
웰크론한텍 *,1305.0,-1.95%,93639.0,123.0,102298.0,076080,https://kr.tradingview.com/symbols/KRX-076080/,295억
이노메트리 *,7740.0,-2.03%,44900.0,350.0,62103.0,302430,https://kr.tradingview.com/symbols/KRX-302430/,761억
자비스 *,1336.0,-2.48%,207042.0,277.0,79386.0,254120,https://kr.tradingview.com/symbols/KRX-254120/,411억
아이비젼웍스 *,1327.0,-2.57%,482100.0,644.0,479271.0,469750,https://kr.tradingview.com/symbols/KRX-469750/,457억
디에스케이 *,6910.0,-3.76%,124173.0,867.0,33647.0,109740,https://kr.tradingview.com/symbols/KRX-109740/,"1,777억"
씨아이에스 *,12420.0,-6.69%,3932305.0,48810.0,1881950.0,222080,https://kr.tradingview.com/symbols/KRX-222080/,"9,610억"
