종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
보해양조,485.0,+17.43%,25140904.0,11778.0,500959.0,000890,https://kr.tradingview.com/symbols/KRX-000890/,670억
DI동일,23550.0,+7.78%,171702.0,3931.0,129625.0,001530,https://kr.tradingview.com/symbols/KRX-001530/,"4,646억"
빙그레,84800.0,+3.29%,89920.0,7608.0,65697.0,005180,https://kr.tradingview.com/symbols/KRX-005180/,"8,103억"
에쎈테크 *,464.0,+3.11%,213785.0,96.0,64285.0,043340,https://kr.tradingview.com/symbols/KRX-043340/,441억
롯데웰푸드,129600.0,+3.02%,34096.0,4462.0,18903.0,280360,https://kr.tradingview.com/symbols/KRX-280360/,"12,059억"
후성,8280.0,+2.48%,717252.0,5861.0,405588.0,093370,https://kr.tradingview.com/symbols/KRX-093370/,"8,881억"
코웨이,87900.0,+1.97%,598705.0,51983.0,385207.0,021240,https://kr.tradingview.com/symbols/KRX-021240/,"63,208억"
롯데하이마트,9150.0,+1.67%,533232.0,4952.0,1618346.0,071840,https://kr.tradingview.com/symbols/KRX-071840/,"2,160억"
LG생활건강,276000.0,+1.66%,99211.0,27400.0,83762.0,051900,https://kr.tradingview.com/symbols/KRX-051900/,"42,235억"
이지홀딩스 *,5500.0,+1.48%,257649.0,1429.0,115335.0,035810,https://kr.tradingview.com/symbols/KRX-035810/,"3,548억"
쿠쿠홈시스,25400.0,+1.40%,32836.0,833.0,17214.0,284740,https://kr.tradingview.com/symbols/KRX-284740/,"5,699억"
오텍 *,1920.0,+1.32%,137906.0,267.0,69168.0,067170,https://kr.tradingview.com/symbols/KRX-067170/,459억
하이트진로,18320.0,+1.27%,294470.0,5363.0,142281.0,000080,https://kr.tradingview.com/symbols/KRX-000080/,"12,848억"
동우팜투테이블 *,2210.0,+1.14%,40514.0,89.0,34954.0,088910,https://kr.tradingview.com/symbols/KRX-088910/,571억
롯데칠성,139100.0,+1.09%,25921.0,3598.0,22553.0,005300,https://kr.tradingview.com/symbols/KRX-005300/,"12,907억"
남해화학,7360.0,+0.96%,270850.0,1978.0,285309.0,025860,https://kr.tradingview.com/symbols/KRX-025860/,"3,656억"
하림 *,3215.0,+0.78%,870107.0,2795.0,674572.0,136480,https://kr.tradingview.com/symbols/KRX-136480/,"3,415억"
태경케미컬,7990.0,+0.63%,24146.0,192.0,66659.0,006890,https://kr.tradingview.com/symbols/KRX-006890/,927억
마니커,798.0,+0.63%,341941.0,272.0,211277.0,027740,https://kr.tradingview.com/symbols/KRX-027740/,507억
팜스토리 *,1175.0,+0.43%,375982.0,441.0,251546.0,027710,https://kr.tradingview.com/symbols/KRX-027710/,"1,309억"
한울앤제주 *,1132.0,+0.18%,144482.0,166.0,192351.0,276730,https://kr.tradingview.com/symbols/KRX-276730/,251억
에스씨디 *,1354.0,+0.15%,121032.0,163.0,198028.0,042110,https://kr.tradingview.com/symbols/KRX-042110/,654억
위닉스 *,5380.0,0.00%,34617.0,187.0,28621.0,044340,https://kr.tradingview.com/symbols/KRX-044340/,962억
신일전자,1408.0,-0.21%,329369.0,463.0,511230.0,002700,https://kr.tradingview.com/symbols/KRX-002700/,"1,000억"
배럴 *,3960.0,-1.12%,21721.0,87.0,61292.0,267790,https://kr.tradingview.com/symbols/KRX-267790/,304억
파세코 *,7920.0,-1.49%,114444.0,917.0,124281.0,037070,https://kr.tradingview.com/symbols/KRX-037070/,"1,584억"
조비,14510.0,-2.88%,300603.0,4432.0,1829066.0,001550,https://kr.tradingview.com/symbols/KRX-001550/,753억
3S *,1409.0,-3.95%,382966.0,546.0,325821.0,060310,https://kr.tradingview.com/symbols/KRX-060310/,748억
