종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
지놈앤컴퍼니 *,8250.0,+7.70%,566992.0,4538.0,417087.0,314130,https://kr.tradingview.com/symbols/KRX-314130/,"2,879억"
DXVX *,5050.0,+6.32%,703478.0,3537.0,439852.0,180400,https://kr.tradingview.com/symbols/KRX-180400/,"4,971억"
인트론바이오 *,3800.0,+6.15%,660445.0,2528.0,193356.0,048530,https://kr.tradingview.com/symbols/KRX-048530/,"1,261억"
HLB제넥스 *,2935.0,+5.58%,972007.0,2983.0,36376.0,187420,https://kr.tradingview.com/symbols/KRX-187420/,857억
소마젠 *,3980.0,+3.38%,60515.0,239.0,71089.0,950200,https://kr.tradingview.com/symbols/KRX-950200/,766억
유바이오로직스 *,13710.0,+3.01%,694648.0,9570.0,190643.0,206650,https://kr.tradingview.com/symbols/KRX-206650/,"5,028억"
HEM파마 *,83400.0,+1.96%,28168.0,2322.0,43295.0,376270,https://kr.tradingview.com/symbols/KRX-376270/,"5,990억"
LG생활건강,276000.0,+1.66%,99211.0,27400.0,83762.0,051900,https://kr.tradingview.com/symbols/KRX-051900/,"42,235억"
CJ 바이오사이언스 *,8850.0,+1.03%,24241.0,215.0,24298.0,311690,https://kr.tradingview.com/symbols/KRX-311690/,"1,156억"
종근당바이오,21400.0,+0.94%,12139.0,258.0,20623.0,063160,https://kr.tradingview.com/symbols/KRX-063160/,"1,174억"
쎌바이오텍 *,13700.0,+0.88%,22717.0,310.0,12803.0,049960,https://kr.tradingview.com/symbols/KRX-049960/,"1,288억"
콜마홀딩스,10230.0,+0.69%,68426.0,699.0,51187.0,024720,https://kr.tradingview.com/symbols/KRX-024720/,"3,508억"
비피도 *,2910.0,+0.34%,26842.0,78.0,35328.0,238200,https://kr.tradingview.com/symbols/KRX-238200/,238억
마크로젠 *,18450.0,-0.27%,34828.0,638.0,57918.0,038290,https://kr.tradingview.com/symbols/KRX-038290/,"2,000억"
에이치엘사이언스 *,8150.0,-0.49%,1880.0,15.0,2525.0,239610,https://kr.tradingview.com/symbols/KRX-239610/,439억
랩지노믹스 *,1756.0,-1.51%,356779.0,627.0,648587.0,084650,https://kr.tradingview.com/symbols/KRX-084650/,"1,304억"
아모레퍼시픽,159400.0,-2.21%,394830.0,63073.0,263373.0,090430,https://kr.tradingview.com/symbols/KRX-090430/,"93,237억"
고바이오랩 *,5620.0,-5.55%,163858.0,947.0,129325.0,348150,https://kr.tradingview.com/symbols/KRX-348150/,"1,091억"
