종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
HDC현대EP,6500.0,+18.40%,2326678.0,14464.0,298234.0,089470,https://kr.tradingview.com/symbols/KRX-089470/,"2,074억"
삼일씨엔에스,6540.0,+6.34%,179944.0,1153.0,169798.0,004440,https://kr.tradingview.com/symbols/KRX-004440/,833억
동양파일 *,2045.0,+2.66%,102099.0,207.0,88430.0,228340,https://kr.tradingview.com/symbols/KRX-228340/,409억
하이드로리튬 *,2290.0,+2.23%,1200894.0,2757.0,684590.0,101670,https://kr.tradingview.com/symbols/KRX-101670/,"1,294억"
희림 *,4600.0,+2.11%,619194.0,2851.0,166724.0,037440,https://kr.tradingview.com/symbols/KRX-037440/,640억
현대에버다임 *,9380.0,+1.63%,1240276.0,11719.0,831301.0,041440,https://kr.tradingview.com/symbols/KRX-041440/,"1,681억"
유엔젤,4860.0,+1.57%,70985.0,343.0,86696.0,072130,https://kr.tradingview.com/symbols/KRX-072130/,627억
오텍 *,1920.0,+1.32%,137906.0,267.0,69168.0,067170,https://kr.tradingview.com/symbols/KRX-067170/,459억
지에프아이 *,18120.0,+0.78%,44096.0,795.0,39460.0,493330,https://kr.tradingview.com/symbols/KRX-493330/,"1,392억"
인콘 *,503.0,+0.60%,57237742.0,30686.0,51423127.0,083640,https://kr.tradingview.com/symbols/KRX-083640/,391억
HRS *,5260.0,+0.57%,169698.0,895.0,137408.0,036640,https://kr.tradingview.com/symbols/KRX-036640/,860억
동아지질,18380.0,+0.33%,21078.0,388.0,18728.0,028100,https://kr.tradingview.com/symbols/KRX-028100/,"2,461억"
티케이지애강 *,635.0,+0.32%,288223.0,181.0,140499.0,022220,https://kr.tradingview.com/symbols/KRX-022220/,329억
한국종합기술,4805.0,+0.10%,43995.0,211.0,66208.0,023350,https://kr.tradingview.com/symbols/KRX-023350/,526억
LS마린솔루션 *,29400.0,-0.17%,171385.0,5001.0,134343.0,060370,https://kr.tradingview.com/symbols/KRX-060370/,"15,358억"
대창스틸 *,2125.0,-0.23%,26121.0,56.0,20987.0,140520,https://kr.tradingview.com/symbols/KRX-140520/,449억
한컴라이프케어,2875.0,-0.86%,204922.0,587.0,105715.0,372910,https://kr.tradingview.com/symbols/KRX-372910/,796억
서전기전 *,4420.0,-1.34%,227037.0,1013.0,787201.0,189860,https://kr.tradingview.com/symbols/KRX-189860/,429억
폴라리스AI *,1707.0,-1.39%,373303.0,638.0,279793.0,039980,https://kr.tradingview.com/symbols/KRX-039980/,"1,242억"
삼영엠텍 *,13780.0,-1.92%,138443.0,1913.0,183615.0,054540,https://kr.tradingview.com/symbols/KRX-054540/,"1,791억"
파라텍 *,1561.0,-2.44%,543632.0,864.0,867596.0,033540,https://kr.tradingview.com/symbols/KRX-033540/,589억
