종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
오리엔트정공 *,2995.0,+29.93%,16483145.0,46657.0,162839.0,065500,https://kr.tradingview.com/symbols/KRX-065500/,951억
다산솔루에타 *,1250.0,+4.95%,46909.0,57.0,39924.0,154040,https://kr.tradingview.com/symbols/KRX-154040/,224억
엑사이엔씨 *,684.0,+2.55%,470199.0,321.0,154109.0,054940,https://kr.tradingview.com/symbols/KRX-054940/,227억
대창,1448.0,+1.69%,1888488.0,2726.0,9889387.0,012800,https://kr.tradingview.com/symbols/KRX-012800/,"1,320억"
크리스탈신소재 *,669.0,+1.67%,1505314.0,991.0,867436.0,900250,https://kr.tradingview.com/symbols/KRX-900250/,958억
엘엠에스 *,5320.0,+0.76%,19434.0,103.0,8085.0,073110,https://kr.tradingview.com/symbols/KRX-073110/,473억
덕산하이메탈 *,11240.0,+0.54%,1326397.0,14882.0,1619913.0,077360,https://kr.tradingview.com/symbols/KRX-077360/,"5,107억"
휴비스,2905.0,+0.35%,82116.0,238.0,174030.0,079980,https://kr.tradingview.com/symbols/KRX-079980/,"1,002억"
상보 *,813.0,0.00%,310511.0,253.0,1187819.0,027580,https://kr.tradingview.com/symbols/KRX-027580/,481억
국일제지 *,351.0,0.00%,1028945.0,359.0,606721.0,078130,https://kr.tradingview.com/symbols/KRX-078130/,"3,957억"
디와이덕양,2145.0,-0.23%,77967.0,167.0,62823.0,024900,https://kr.tradingview.com/symbols/KRX-024900/,699억
경인양행,4875.0,-1.81%,435315.0,2145.0,718151.0,012610,https://kr.tradingview.com/symbols/KRX-012610/,"2,029억"
아이텍 *,8860.0,-3.59%,768224.0,6823.0,652156.0,119830,https://kr.tradingview.com/symbols/KRX-119830/,"2,099억"
