종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
팜스코,4080.0,+12.40%,1599686.0,6494.0,478139.0,036580,https://kr.tradingview.com/symbols/KRX-036580/,"1,498억"
이지바이오 *,7720.0,+6.48%,594583.0,4622.0,212103.0,353810,https://kr.tradingview.com/symbols/KRX-353810/,"2,554억"
우성,19590.0,+4.48%,14431.0,279.0,6388.0,006980,https://kr.tradingview.com/symbols/KRX-006980/,605억
케이씨피드 *,2765.0,+2.60%,93523.0,257.0,198288.0,025880,https://kr.tradingview.com/symbols/KRX-025880/,462억
오에스피 *,1925.0,+2.50%,30538.0,58.0,30097.0,368970,https://kr.tradingview.com/symbols/KRX-368970/,180억
선진,12750.0,+1.59%,168613.0,2137.0,127004.0,136490,https://kr.tradingview.com/symbols/KRX-136490/,"3,032억"
이지홀딩스 *,5500.0,+1.48%,257649.0,1429.0,115335.0,035810,https://kr.tradingview.com/symbols/KRX-035810/,"3,548억"
사조동아원,1114.0,+0.91%,378795.0,421.0,319786.0,008040,https://kr.tradingview.com/symbols/KRX-008040/,"1,572억"
한탑 *,673.0,+0.90%,122903.0,83.0,89340.0,002680,https://kr.tradingview.com/symbols/KRX-002680/,217억
한일사료 *,3105.0,+0.81%,230258.0,715.0,139473.0,005860,https://kr.tradingview.com/symbols/KRX-005860/,"1,223억"
팜스토리 *,1175.0,+0.43%,375982.0,441.0,251546.0,027710,https://kr.tradingview.com/symbols/KRX-027710/,"1,309억"
미래생명자원 *,3065.0,+0.33%,89051.0,273.0,55711.0,218150,https://kr.tradingview.com/symbols/KRX-218150/,626억
씨티씨바이오 *,4245.0,0.00%,62468.0,265.0,85883.0,060590,https://kr.tradingview.com/symbols/KRX-060590/,"1,026억"
우진비앤지 *,835.0,-0.48%,189829.0,157.0,457517.0,018620,https://kr.tradingview.com/symbols/KRX-018620/,241억
고려산업,2515.0,-0.59%,123256.0,310.0,195445.0,002140,https://kr.tradingview.com/symbols/KRX-002140/,627억
애드바이오텍 *,1700.0,-1.51%,52058.0,89.0,127515.0,179530,https://kr.tradingview.com/symbols/KRX-179530/,335억
대한제당,2825.0,-2.25%,662297.0,1908.0,247488.0,001790,https://kr.tradingview.com/symbols/KRX-001790/,"2,534억"
대주산업 *,4230.0,-3.31%,2325206.0,9878.0,2350666.0,003310,https://kr.tradingview.com/symbols/KRX-003310/,"1,497억"
