종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
보해양조,485.0,+17.43%,25140904.0,11778.0,500959.0,000890,https://kr.tradingview.com/symbols/KRX-000890/,670억
무학,9710.0,+4.86%,156559.0,1518.0,61219.0,033920,https://kr.tradingview.com/symbols/KRX-033920/,"2,767억"
진로발효 *,18000.0,+1.75%,6891.0,124.0,1672.0,018120,https://kr.tradingview.com/symbols/KRX-018120/,"1,192억"
하이트진로,18320.0,+1.27%,294470.0,5363.0,142281.0,000080,https://kr.tradingview.com/symbols/KRX-000080/,"12,848억"
롯데칠성,139100.0,+1.09%,25921.0,3598.0,22553.0,005300,https://kr.tradingview.com/symbols/KRX-005300/,"12,907억"
창해에탄올 *,10010.0,+1.01%,38286.0,382.0,28931.0,004650,https://kr.tradingview.com/symbols/KRX-004650/,920억
MH에탄올,4480.0,+0.90%,4841.0,21.0,10958.0,023150,https://kr.tradingview.com/symbols/KRX-023150/,331억
하이트진로홀딩스,9680.0,+0.83%,27716.0,267.0,64026.0,000140,https://kr.tradingview.com/symbols/KRX-000140/,"2,246억"
한국알콜 *,12200.0,+0.83%,137379.0,1679.0,262466.0,017890,https://kr.tradingview.com/symbols/KRX-017890/,"2,595억"
국순당 *,4105.0,+0.24%,26143.0,107.0,25872.0,043650,https://kr.tradingview.com/symbols/KRX-043650/,733억
풍국주정 *,9130.0,+0.22%,19577.0,179.0,12368.0,023900,https://kr.tradingview.com/symbols/KRX-023900/,"1,150억"
나라셀라 *,2625.0,+0.19%,6432.0,17.0,11760.0,405920,https://kr.tradingview.com/symbols/KRX-405920/,338억
한울앤제주 *,1132.0,+0.18%,144482.0,166.0,192351.0,276730,https://kr.tradingview.com/symbols/KRX-276730/,251억
