종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,차트링크
현대건설,000720,-0.95%,178269,1530762,거래대금,178269,8,GTX(수도권 광역급행철도),UAM(도심항공모빌리티),기업인수목적회사(SPAC),남북경협,원자력발전,원자력발전소 해체,테마파크,풍력에너지,https://kr.tradingview.com/symbols/KRX-000720/
두산에너빌리티,034020,+1.26%,1704821,17459913,거래대금,1704821,6,셰일가스(Shale Gas),원자력발전,원자력발전소 해체,전력설비,풍력에너지,항공기부품,,,https://kr.tradingview.com/symbols/KRX-034020/
SK텔레콤,017670,+10.90%,343449,4004823,거래대금,343449,6,UAM(도심항공모빌리티),밸류업(24년 기업가치 제고계획 발표),블록체인,스마트홈(홈네트워크),코리아 밸류업 지수(Korea Value-up Index),통신,,,https://kr.tradingview.com/symbols/KRX-017670/
하나금융지주,086790,-1.85%,164737,1276025,거래대금,164737,6,STO(토큰증권 발행),밸류업(24년 기업가치 제고계획 발표),은행,지주사,코리아 밸류업 지수(Korea Value-up Index),토스(toss),,,https://kr.tradingview.com/symbols/KRX-086790/
한국전력,015760,-0.50%,120989,2009683,거래대금,120989,6,LNG(액화천연가스),남북경협,셰일가스(Shale Gas),원자력발전,전력설비,풍력에너지,,,https://kr.tradingview.com/symbols/KRX-015760/
한화투자증권,003530,+13.23%,453073,61201951,거래대금,453073,5,STO(토큰증권 발행),두나무(Dunamu),야놀자(Yanolja),증권,토스(toss),,,,https://kr.tradingview.com/symbols/KRX-003530/
한국항공우주,047810,+6.77%,428617,2414203,거래대금,428617,5,UAM(도심항공모빌리티),드론(Drone),우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),항공기부품,,,,https://kr.tradingview.com/symbols/KRX-047810/
신한지주,055550,-3.30%,313596,3014041,거래대금,313596,5,STO(토큰증권 발행),밸류업(24년 기업가치 제고계획 발표),은행,지주사,코리아 밸류업 지수(Korea Value-up Index),,,,https://kr.tradingview.com/symbols/KRX-055550/
KB금융,105560,-0.36%,279139,1663556,거래대금,279139,5,STO(토큰증권 발행),밸류업(24년 기업가치 제고계획 발표),은행,지주사,코리아 밸류업 지수(Korea Value-up Index),,,,https://kr.tradingview.com/symbols/KRX-105560/
한화에어로스페이스,012450,-2.30%,259451,233348,거래대금,259451,5,UAM(도심항공모빌리티),드론(Drone),우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),항공기부품,,,,https://kr.tradingview.com/symbols/KRX-012450/
우리금융지주,316140,-0.51%,189412,4738294,거래대금,189412,5,밸류업(24년 기업가치 제고계획 발표),밸류업(26년 기업가치 제고계획 발표),은행,지주사,코리아 밸류업 지수(Korea Value-up Index),,,,https://kr.tradingview.com/symbols/KRX-316140/
SK,034730,+2.04%,131795,370213,거래대금,131795,5,LNG(액화천연가스),밸류업(24년 기업가치 제고계획 발표),블록체인,조림사업,지주사,,,,https://kr.tradingview.com/symbols/KRX-034730/
