종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액,수급일자,기관순매수,외국인순매수
SK이터닉스,28650.0,+23.76%,15081323.0,425849.0,836102.0,475150,https://kr.tradingview.com/symbols/KRX-475150/,"9,671억",2026.02.13,109502,-195250
효성,161900.0,+7.93%,147540.0,23723.0,25243.0,004800,https://kr.tradingview.com/symbols/KRX-004800/,"27,103억",2026.02.13,52018,18733
태웅 *,32400.0,+7.64%,723898.0,23379.0,91863.0,044490,https://kr.tradingview.com/symbols/KRX-044490/,"6,482억",2026.02.13,55304,143810
코오롱글로벌,10060.0,+2.97%,104941.0,1047.0,48358.0,003070,https://kr.tradingview.com/symbols/KRX-003070/,"2,558억",2026.02.13,2591,15733
두산에너빌리티,96700.0,+1.26%,17459913.0,1704821.0,6335775.0,034020,https://kr.tradingview.com/symbols/KRX-034020/,"619,423억",2026.02.13,585901,2413631
LS에코에너지,44200.0,+1.03%,188559.0,8324.0,140531.0,229640,https://kr.tradingview.com/symbols/KRX-229640/,"13,536억",2026.02.13,37204,9961
세아제강,127100.0,+1.03%,7377.0,931.0,5284.0,306200,https://kr.tradingview.com/symbols/KRX-306200/,"3,605억",2026.02.13,1979,-1886
세진중공업,18030.0,+0.78%,239203.0,4316.0,122251.0,075580,https://kr.tradingview.com/symbols/KRX-075580/,"1,250억",2026.02.13,-54689,76242
포메탈 *,4995.0,+0.30%,672290.0,3375.0,550147.0,119500,https://kr.tradingview.com/symbols/KRX-119500/,592억,2026.02.13,138,-58972
동국S&C *,2025.0,+0.25%,127826.0,255.0,189781.0,100130,https://kr.tradingview.com/symbols/KRX-100130/,"1,157억",2026.02.13,-125,-11401
한전기술,147800.0,+0.14%,476116.0,70999.0,418115.0,052690,https://kr.tradingview.com/symbols/KRX-052690/,"56,489억",2026.02.13,24490,22545
SK오션플랜트,17930.0,+0.06%,482348.0,8746.0,275979.0,100090,https://kr.tradingview.com/symbols/KRX-100090/,"11,202억",2026.02.13,-51962,-16777
대명에너지 *,19670.0,0.00%,77692.0,1546.0,47850.0,389260,https://kr.tradingview.com/symbols/KRX-389260/,"3,524억",2026.02.13,24,-8111
케이피에프 *,6050.0,0.00%,161984.0,977.0,206612.0,024880,https://kr.tradingview.com/symbols/KRX-024880/,"1,215억",2026.02.13,-2034,10283
씨엔플러스 *,322.0,-0.31%,847228.0,273.0,1678211.0,115530,https://kr.tradingview.com/symbols/KRX-115530/,219억,2026.02.13,0,230405
한국전력,59800.0,-0.50%,2009683.0,120989.0,2950481.0,015760,https://kr.tradingview.com/symbols/KRX-015760/,"383,895억",2026.02.13,95910,-419219
금양그린파워 *,12140.0,-0.57%,162281.0,1966.0,175075.0,282720,https://kr.tradingview.com/symbols/KRX-282720/,"1,471억",2026.02.13,-15,34900
씨에스베어링 *,6460.0,-0.77%,243433.0,1571.0,385717.0,297090,https://kr.tradingview.com/symbols/KRX-297090/,"1,762억",2026.02.13,-1183,6279
스페코 *,2585.0,-0.77%,94640.0,245.0,105048.0,013810,https://kr.tradingview.com/symbols/KRX-013810/,379억,2026.02.13,0,-19136
효성중공업,2384000.0,-0.87%,36073.0,86317.0,35067.0,298040,https://kr.tradingview.com/symbols/KRX-298040/,"222,297억",2026.02.13,-1147,6951
현대건설,114300.0,-0.95%,1530762.0,178269.0,1565751.0,000720,https://kr.tradingview.com/symbols/KRX-000720/,"127,280억",2026.02.13,42462,-72582
LS,248000.0,-1.00%,242095.0,60964.0,378998.0,006260,https://kr.tradingview.com/symbols/KRX-006260/,"78,616억",2026.02.13,-3857,32964
LS머트리얼즈 *,15980.0,-1.72%,1871146.0,29953.0,1725793.0,417200,https://kr.tradingview.com/symbols/KRX-417200/,"1,811억",2026.02.13,-17890,-207530
동국산업 *,2850.0,-1.72%,57937.0,165.0,119640.0,005160,https://kr.tradingview.com/symbols/KRX-005160/,"1,546억",2026.02.13,2192,-24681
서암기계공업 *,4775.0,-1.85%,80327.0,385.0,60697.0,100660,https://kr.tradingview.com/symbols/KRX-100660/,602억,2026.02.13,0,-7251
LS마린솔루션 *,28850.0,-1.87%,153609.0,4404.0,171385.0,060370,https://kr.tradingview.com/symbols/KRX-060370/,"15,071억",2026.02.13,-5713,-32459
POSCO홀딩스,375500.0,-1.96%,497388.0,188127.0,1513690.0,005490,https://kr.tradingview.com/symbols/KRX-005490/,"303,903억",2026.02.13,1532,-87549
대창솔루션 *,2175.0,-2.25%,315173.0,690.0,334111.0,096350,https://kr.tradingview.com/symbols/KRX-096350/,802억,2026.02.13,0,436
