종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액,수급일자,기관순매수,외국인순매수
한전산업,21400.0,+6.20%,19385634.0,435214.0,4450530.0,130660,https://kr.tradingview.com/symbols/KRX-130660/,"6,976억",2026.02.13,12739,9748
세명전기 *,10560.0,+2.52%,6513250.0,72162.0,623204.0,017510,https://kr.tradingview.com/symbols/KRX-017510/,"1,610억",2026.02.13,5999,-234186
바이오스마트 *,5050.0,+2.43%,1244441.0,6257.0,578516.0,038460,https://kr.tradingview.com/symbols/KRX-038460/,"1,321억",2026.02.13,0,-110226
제룡산업 *,7790.0,+2.23%,730183.0,5690.0,381498.0,147830,https://kr.tradingview.com/symbols/KRX-147830/,"1,558억",2026.02.13,0,45630
제일일렉트릭 *,10740.0,+1.42%,901453.0,9758.0,499094.0,199820,https://kr.tradingview.com/symbols/KRX-199820/,"2,386억",2026.02.13,134,80389
두산에너빌리티,96700.0,+1.26%,17459913.0,1704821.0,6335775.0,034020,https://kr.tradingview.com/symbols/KRX-034020/,"619,423억",2026.02.13,585901,2413631
지투파워 *,9530.0,+1.17%,1037457.0,9898.0,636580.0,388050,https://kr.tradingview.com/symbols/KRX-388050/,"1,783억",2026.02.13,4127,7393
LS에코에너지,44200.0,+1.03%,188559.0,8324.0,140531.0,229640,https://kr.tradingview.com/symbols/KRX-229640/,"13,536억",2026.02.13,37204,9961
금화피에스시 *,33850.0,+0.89%,8154.0,275.0,12754.0,036190,https://kr.tradingview.com/symbols/KRX-036190/,"2,031억",2026.02.13,1073,-1407
한전KPS,58300.0,+0.87%,420651.0,24472.0,258636.0,051600,https://kr.tradingview.com/symbols/KRX-051600/,"26,235억",2026.02.13,5731,-7334
서남 *,5040.0,+0.80%,15332758.0,80630.0,19402119.0,294630,https://kr.tradingview.com/symbols/KRX-294630/,"1,329억",2026.02.13,143693,573256
가온전선,89400.0,+0.45%,35599.0,3165.0,45073.0,000500,https://kr.tradingview.com/symbols/KRX-000500/,"14,790억",2026.02.13,3471,10716
대원전선,3770.0,+0.27%,2299802.0,8651.0,1895868.0,006340,https://kr.tradingview.com/symbols/KRX-006340/,"2,906억",2026.02.13,15770,335950
비츠로시스 *,611.0,-0.33%,4071313.0,2456.0,18849014.0,054220,https://kr.tradingview.com/symbols/KRX-054220/,366억,2026.02.13,0,-70881
한국전력,59800.0,-0.50%,2009683.0,120989.0,2950481.0,015760,https://kr.tradingview.com/symbols/KRX-015760/,"383,895억",2026.02.13,95910,-419219
서전기전 *,4390.0,-0.68%,257257.0,1135.0,228921.0,189860,https://kr.tradingview.com/symbols/KRX-189860/,426억,2026.02.13,0,-31888
효성중공업,2384000.0,-0.87%,36073.0,86317.0,35067.0,298040,https://kr.tradingview.com/symbols/KRX-298040/,"222,297억",2026.02.13,-1147,6951
대한전선,31550.0,-0.94%,4057040.0,127247.0,7090297.0,001440,https://kr.tradingview.com/symbols/KRX-001440/,"58,824억",2026.02.13,89967,92621
LS,248000.0,-1.00%,242095.0,60964.0,378998.0,006260,https://kr.tradingview.com/symbols/KRX-006260/,"78,616억",2026.02.13,-3857,32964
일진전기,71500.0,-1.24%,579667.0,41860.0,433980.0,103590,https://kr.tradingview.com/symbols/KRX-103590/,"34,095억",2026.02.13,-28121,-9354
LS ELECTRIC,661000.0,-1.49%,149311.0,98525.0,166299.0,010120,https://kr.tradingview.com/symbols/KRX-010120/,"198,300억",2026.02.13,-8389,-14889
피앤씨테크 *,4940.0,-1.59%,54334.0,267.0,38724.0,237750,https://kr.tradingview.com/symbols/KRX-237750/,321억,2026.02.13,0,7973
제룡전기 *,51400.0,-1.72%,267853.0,13783.0,369572.0,033100,https://kr.tradingview.com/symbols/KRX-033100/,"8,256억",2026.02.13,-21420,54764
HD현대일렉트릭,949000.0,-1.76%,112113.0,107427.0,182379.0,267260,https://kr.tradingview.com/symbols/KRX-267260/,"342,087억",2026.02.13,2398,-6716
광명전기,1439.0,-1.77%,405391.0,585.0,373343.0,017040,https://kr.tradingview.com/symbols/KRX-017040/,624억,2026.02.13,4,-36205
위너스 *,10530.0,-1.86%,13957.0,147.0,90907.0,479960,https://kr.tradingview.com/symbols/KRX-479960/,721억,2026.02.13,0,-929
LS마린솔루션 *,28850.0,-1.87%,153609.0,4404.0,171385.0,060370,https://kr.tradingview.com/symbols/KRX-060370/,"15,071억",2026.02.13,-5713,-32459
보성파워텍 *,9180.0,-2.34%,11585156.0,107811.0,21558331.0,006910,https://kr.tradingview.com/symbols/KRX-006910/,"4,510억",2026.02.13,-789,-1016787
비츠로테크 *,10660.0,-2.56%,445761.0,4701.0,688616.0,042370,https://kr.tradingview.com/symbols/KRX-042370/,"2,793억",2026.02.13,390,3555
에이루트 *,1701.0,-3.08%,210124.0,356.0,120912.0,096690,https://kr.tradingview.com/symbols/KRX-096690/,411억,2026.02.13,0,5956
티씨머티리얼즈 *,4215.0,-3.10%,655465.0,2746.0,816739.0,125020,https://kr.tradingview.com/symbols/KRX-125020/,"1,477억",2026.02.13,-16879,-25324
지엔씨에너지 *,37900.0,-3.56%,236191.0,9041.0,585995.0,119850,https://kr.tradingview.com/symbols/KRX-119850/,"6,234억",2026.02.13,-52217,-47577
산일전기,145500.0,-4.65%,297923.0,43789.0,226360.0,062040,https://kr.tradingview.com/symbols/KRX-062040/,"44,443억",2026.02.13,-68528,-78570
