종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
오르비텍 *,6210.0,+15.00%,20363791.0,126360.0,3228548.0,046120,https://kr.tradingview.com/symbols/KRX-046120/,"1,720억"
한국항공우주,176700.0,+6.77%,2414203.0,428617.0,831709.0,047810,https://kr.tradingview.com/symbols/KRX-047810/,"172,239억"
두산에너빌리티,96700.0,+1.26%,17459913.0,1704821.0,6335775.0,034020,https://kr.tradingview.com/symbols/KRX-034020/,"619,423억"
LIG넥스원,460000.0,+0.99%,110262.0,50039.0,89970.0,079550,https://kr.tradingview.com/symbols/KRX-079550/,"101,200억"
켄코아에어로스페이스 *,26550.0,+0.95%,652652.0,17169.0,1215414.0,274090,https://kr.tradingview.com/symbols/KRX-274090/,"3,599억"
대한항공,24800.0,0.00%,2760898.0,68755.0,2729130.0,003490,https://kr.tradingview.com/symbols/KRX-003490/,"91,319억"
한국카본,34900.0,0.00%,481245.0,16941.0,384654.0,017960,https://kr.tradingview.com/symbols/KRX-017960/,"18,116억"
하이즈항공 *,2795.0,-0.71%,129342.0,347.0,44063.0,221840,https://kr.tradingview.com/symbols/KRX-221840/,523억
휴니드,8370.0,-1.06%,206612.0,1702.0,199047.0,005870,https://kr.tradingview.com/symbols/KRX-005870/,"1,182억"
솔디펜스 *,2890.0,-1.87%,151737.0,442.0,171820.0,215090,https://kr.tradingview.com/symbols/KRX-215090/,669억
이엠코리아 *,2295.0,-1.92%,177513.0,407.0,184810.0,095190,https://kr.tradingview.com/symbols/KRX-095190/,"1,498억"
한화에어로스페이스,1105000.0,-2.30%,233348.0,259451.0,210941.0,012450,https://kr.tradingview.com/symbols/KRX-012450/,"569,776억"
현대위아,83900.0,-3.01%,124790.0,10519.0,193768.0,011210,https://kr.tradingview.com/symbols/KRX-011210/,"22,817억"
아스트 *,681.0,-4.35%,3291656.0,2232.0,3804836.0,067390,https://kr.tradingview.com/symbols/KRX-067390/,"2,746억"
