종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
상아프론테크 *,22450.0,+29.84%,162122.0,3640.0,21490.0,089980,https://kr.tradingview.com/symbols/KRX-089980/,"3,590억"
스피어 *,44600.0,+15.84%,6218436.0,265097.0,2350647.0,347700,https://kr.tradingview.com/symbols/KRX-347700/,"21,045억"
태웅 *,32400.0,+7.64%,723898.0,23379.0,91863.0,044490,https://kr.tradingview.com/symbols/KRX-044490/,"6,482억"
제노코 *,31700.0,+7.09%,1332747.0,40778.0,2482278.0,361390,https://kr.tradingview.com/symbols/KRX-361390/,"2,981억"
한국항공우주,176700.0,+6.77%,2414203.0,428617.0,831709.0,047810,https://kr.tradingview.com/symbols/KRX-047810/,"172,239억"
쎄트렉아이 *,190500.0,+6.54%,515342.0,96419.0,1061510.0,099320,https://kr.tradingview.com/symbols/KRX-099320/,"2,862억"
퍼스텍,5200.0,+4.10%,5424193.0,28359.0,4353758.0,010820,https://kr.tradingview.com/symbols/KRX-010820/,"2,536억"
나라스페이스테크놀로지 *,55600.0,+2.96%,1985032.0,110596.0,2839120.0,478340,https://kr.tradingview.com/symbols/KRX-478340/,"6,413억"
그린광학 *,40100.0,+1.39%,808536.0,32829.0,780329.0,0015G0,https://kr.tradingview.com/symbols/KRX-000150/,"152,546억"
이노스페이스 *,20300.0,+1.00%,581542.0,11698.0,743413.0,462350,https://kr.tradingview.com/symbols/KRX-462350/,"4,192억"
LIG넥스원,460000.0,+0.99%,110262.0,50039.0,89970.0,079550,https://kr.tradingview.com/symbols/KRX-079550/,"101,200억"
켄코아에어로스페이스 *,26550.0,+0.95%,652652.0,17169.0,1215414.0,274090,https://kr.tradingview.com/symbols/KRX-274090/,"3,599억"
LK삼양 *,2400.0,+0.84%,8342168.0,20359.0,8648553.0,225190,https://kr.tradingview.com/symbols/KRX-225190/,"1,691억"
서남 *,5040.0,+0.80%,15332758.0,80630.0,19402119.0,294630,https://kr.tradingview.com/symbols/KRX-294630/,"1,329억"
세아베스틸지주,74100.0,+0.27%,373537.0,27320.0,511140.0,001430,https://kr.tradingview.com/symbols/KRX-001430/,"26,574억"
한양이엔지 *,28950.0,+0.17%,110245.0,3191.0,65455.0,045100,https://kr.tradingview.com/symbols/KRX-045100/,"5,211억"
파이버프로 *,14900.0,+0.13%,352841.0,5267.0,573098.0,368770,https://kr.tradingview.com/symbols/KRX-368770/,"4,895억"
대한항공,24800.0,0.00%,2760898.0,68755.0,2729130.0,003490,https://kr.tradingview.com/symbols/KRX-003490/,"91,319억"
이녹스첨단소재 *,37700.0,0.00%,608594.0,23121.0,532350.0,272290,https://kr.tradingview.com/symbols/KRX-272290/,"7,513억"
에이치브이엠 *,85800.0,-1.15%,415013.0,35294.0,327333.0,295310,https://kr.tradingview.com/symbols/KRX-295310/,"1,212억"
비츠로넥스텍 *,20850.0,-1.42%,312044.0,6409.0,380153.0,488900,https://kr.tradingview.com/symbols/KRX-488900/,"6,042억"
한글과컴퓨터 *,22800.0,-1.72%,177966.0,4064.0,159867.0,030520,https://kr.tradingview.com/symbols/KRX-030520/,"5,513억"
한화,117800.0,-1.75%,284380.0,33756.0,550364.0,000880,https://kr.tradingview.com/symbols/KRX-000880/,"88,301억"
루미르 *,18810.0,-1.98%,1183679.0,21917.0,1477897.0,474170,https://kr.tradingview.com/symbols/KRX-474170/,"3,352억"
현대로템,201500.0,-2.18%,445711.0,90328.0,642274.0,064350,https://kr.tradingview.com/symbols/KRX-064350/,"219,922억"
한화시스템,103400.0,-2.27%,1105572.0,114838.0,1666838.0,272210,https://kr.tradingview.com/symbols/KRX-272210/,"195,343억"
한화에어로스페이스,1105000.0,-2.30%,233348.0,259451.0,210941.0,012450,https://kr.tradingview.com/symbols/KRX-012450/,"569,776억"
AP위성 *,19030.0,-2.31%,412237.0,7860.0,609363.0,211270,https://kr.tradingview.com/symbols/KRX-211270/,"2,870억"
비츠로테크 *,10660.0,-2.56%,445761.0,4701.0,688616.0,042370,https://kr.tradingview.com/symbols/KRX-042370/,"2,793억"
센서뷰 *,2860.0,-3.38%,2774069.0,7882.0,3673017.0,321370,https://kr.tradingview.com/symbols/KRX-321370/,"1,385억"
에스에프에이 *,30750.0,-3.91%,162825.0,5066.0,96130.0,056190,https://kr.tradingview.com/symbols/KRX-056190/,"11,042억"
컨텍 *,21250.0,-4.71%,1261542.0,26676.0,1102318.0,451760,https://kr.tradingview.com/symbols/KRX-451760/,"3,251억"
인텔리안테크 *,124300.0,-5.19%,221243.0,27944.0,321132.0,189300,https://kr.tradingview.com/symbols/KRX-189300/,"13,342억"
이수페타시스,101600.0,-6.10%,1827543.0,188791.0,729746.0,007660,https://kr.tradingview.com/symbols/KRX-007660/,"74,584억"
덕산하이메탈 *,10420.0,-7.30%,4352130.0,44242.0,1342718.0,077360,https://kr.tradingview.com/symbols/KRX-077360/,"4,735억"
