종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
SK텔레콤,86500.0,+10.90%,4004823.0,343449.0,1425568.0,017670,https://kr.tradingview.com/symbols/KRX-017670/,"185,793억"
한국전자인증 *,4275.0,+3.14%,808206.0,3457.0,117676.0,041460,https://kr.tradingview.com/symbols/KRX-041460/,812억
롯데이노베이트,24200.0,+2.33%,149602.0,3612.0,71225.0,286940,https://kr.tradingview.com/symbols/KRX-286940/,"3,661억"
대성창투 *,1775.0,+2.19%,876917.0,1567.0,975858.0,027830,https://kr.tradingview.com/symbols/KRX-027830/,958억
SK,349500.0,+2.04%,370213.0,131795.0,296732.0,034730,https://kr.tradingview.com/symbols/KRX-034730/,"253,397억"
네오위즈홀딩스 *,27100.0,+1.50%,15567.0,423.0,16481.0,042420,https://kr.tradingview.com/symbols/KRX-042420/,"2,267억"
파수 *,3940.0,+1.16%,30709.0,119.0,20678.0,150900,https://kr.tradingview.com/symbols/KRX-150900/,461억
유수홀딩스,6610.0,+0.76%,86410.0,569.0,266368.0,000700,https://kr.tradingview.com/symbols/KRX-000700/,"1,721억"
케이엘넷 *,2765.0,+0.55%,26975.0,74.0,44728.0,039420,https://kr.tradingview.com/symbols/KRX-039420/,668억
KT,64500.0,+0.31%,570462.0,37108.0,688644.0,030200,https://kr.tradingview.com/symbols/KRX-030200/,"162,554억"
LG,95700.0,-0.52%,301623.0,28751.0,437684.0,003550,https://kr.tradingview.com/symbols/KRX-003550/,"147,590억"
케이사인 *,10030.0,-0.59%,20629.0,206.0,23012.0,192250,https://kr.tradingview.com/symbols/KRX-192250/,709억
NAVER,252500.0,-1.17%,820046.0,207146.0,1404228.0,035420,https://kr.tradingview.com/symbols/KRX-035420/,"396,053억"
삼성에스디에스,170400.0,-1.22%,126919.0,21622.0,159143.0,018260,https://kr.tradingview.com/symbols/KRX-018260/,"131,852억"
드림시큐리티 *,1687.0,-1.46%,322869.0,543.0,419062.0,203650,https://kr.tradingview.com/symbols/KRX-203650/,"1,613억"
시큐브 *,4010.0,-1.47%,25413.0,101.0,13141.0,131090,https://kr.tradingview.com/symbols/KRX-131090/,321억
아이티센글로벌 *,48800.0,-1.61%,267080.0,12777.0,187641.0,124500,https://kr.tradingview.com/symbols/KRX-124500/,"11,324억"
라온시큐어 *,9240.0,-1.81%,71102.0,661.0,70431.0,042510,https://kr.tradingview.com/symbols/KRX-042510/,"1,035억"
카카오,57400.0,-2.38%,3156946.0,182410.0,7889505.0,035720,https://kr.tradingview.com/symbols/KRX-035720/,"254,056억"
위메이드 *,27600.0,-3.66%,190926.0,5311.0,257944.0,112040,https://kr.tradingview.com/symbols/KRX-112040/,"9,370억"
한컴위드 *,5110.0,-3.95%,554830.0,2851.0,462291.0,054920,https://kr.tradingview.com/symbols/KRX-054920/,"1,442억"
이니텍 *,3740.0,-5.56%,130887.0,495.0,81447.0,053350,https://kr.tradingview.com/symbols/KRX-053350/,861억
SGA솔루션즈 *,573.0,-6.37%,725319.0,425.0,254396.0,184230,https://kr.tradingview.com/symbols/KRX-184230/,509억
