종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
한화투자증권,7360.0,+13.23%,61201951.0,453073.0,4626789.0,003530,https://kr.tradingview.com/symbols/KRX-003530/,"15,791억"
DSC인베스트먼트 *,12150.0,+4.02%,9202635.0,115557.0,10383099.0,241520,https://kr.tradingview.com/symbols/KRX-241520/,"3,280억"
우리기술투자 *,7900.0,+2.60%,2143124.0,17012.0,668255.0,041190,https://kr.tradingview.com/symbols/KRX-041190/,"6,636억"
에이티넘인베스트 *,3430.0,+2.39%,835990.0,2869.0,483223.0,021080,https://kr.tradingview.com/symbols/KRX-021080/,"1,646억"
대성창투 *,1775.0,+2.19%,876917.0,1567.0,975858.0,027830,https://kr.tradingview.com/symbols/KRX-027830/,958억
네오위즈 *,26150.0,+1.16%,88861.0,2335.0,122000.0,095660,https://kr.tradingview.com/symbols/KRX-095660/,"5,716억"
코오롱인더,62700.0,0.00%,277438.0,17425.0,327969.0,120110,https://kr.tradingview.com/symbols/KRX-120110/,"17,254억"
TS인베스트먼트 *,1777.0,-1.39%,4527825.0,8336.0,12736471.0,246690,https://kr.tradingview.com/symbols/KRX-246690/,794억
카카오,57400.0,-2.38%,3156946.0,182410.0,7889505.0,035720,https://kr.tradingview.com/symbols/KRX-035720/,"254,056억"
코오롱,63600.0,-4.36%,54994.0,3512.0,61330.0,002020,https://kr.tradingview.com/symbols/KRX-002020/,"8,209억"
신성이엔지,2320.0,-5.50%,3499989.0,8240.0,4285249.0,011930,https://kr.tradingview.com/symbols/KRX-011930/,"4,776억"
