종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
코데즈컴바인 *,4395.0,+10.01%,24681123.0,110977.0,5833830.0,047770,https://kr.tradingview.com/symbols/KRX-047770/,"1,663억"
좋은사람들 *,2105.0,+9.07%,31826869.0,67692.0,5282448.0,033340,https://kr.tradingview.com/symbols/KRX-033340/,"2,041억"
현대엘리베이터,103300.0,+4.98%,600795.0,61979.0,837027.0,017800,https://kr.tradingview.com/symbols/KRX-017800/,"4,382억"
인디에프,915.0,+4.33%,2034769.0,1925.0,988232.0,014990,https://kr.tradingview.com/symbols/KRX-014990/,687억
조비,15090.0,+4.00%,906610.0,14141.0,302437.0,001550,https://kr.tradingview.com/symbols/KRX-001550/,784억
남광토건,9070.0,+3.07%,74905.0,670.0,79554.0,001260,https://kr.tradingview.com/symbols/KRX-001260/,892억
일신석재,1772.0,+1.90%,2992395.0,5342.0,1019083.0,007110,https://kr.tradingview.com/symbols/KRX-007110/,"1,373억"
양지사 *,8600.0,+1.78%,750106.0,6551.0,167306.0,030960,https://kr.tradingview.com/symbols/KRX-030960/,"1,374억"
형지엘리트,1229.0,+0.99%,5762540.0,6892.0,16348688.0,093240,https://kr.tradingview.com/symbols/KRX-093240/,754억
신원,1523.0,+0.73%,1635618.0,2512.0,1043677.0,009270,https://kr.tradingview.com/symbols/KRX-009270/,"1,748억"
아난티 *,8590.0,+0.59%,3314449.0,28715.0,1098517.0,025980,https://kr.tradingview.com/symbols/KRX-025980/,"8,135억"
경농,9790.0,+0.41%,174907.0,1729.0,117564.0,002100,https://kr.tradingview.com/symbols/KRX-002100/,"1,911억"
도화엔지니어링,6680.0,-0.15%,59036.0,391.0,188340.0,002150,https://kr.tradingview.com/symbols/KRX-002150/,"2,252억"
남화토건 *,3765.0,-0.26%,13817.0,52.0,17409.0,091590,https://kr.tradingview.com/symbols/KRX-091590/,442억
제이에스티나 *,3365.0,-0.30%,882336.0,3040.0,228017.0,026040,https://kr.tradingview.com/symbols/KRX-026040/,555억
한국전력,59800.0,-0.50%,2009683.0,120989.0,2950481.0,015760,https://kr.tradingview.com/symbols/KRX-015760/,"383,895억"
스페코 *,2585.0,-0.77%,94640.0,245.0,105048.0,013810,https://kr.tradingview.com/symbols/KRX-013810/,379억
세운메디칼 *,2585.0,-0.77%,171039.0,442.0,145560.0,100700,https://kr.tradingview.com/symbols/KRX-100700/,"1,132억"
자화전자,42150.0,-0.82%,397054.0,16493.0,299163.0,033240,https://kr.tradingview.com/symbols/KRX-033240/,"9,170억"
현대건설,114300.0,-0.95%,1530762.0,178269.0,1565751.0,000720,https://kr.tradingview.com/symbols/KRX-000720/,"127,280억"
남해화학,7270.0,-1.22%,250252.0,1836.0,272065.0,025860,https://kr.tradingview.com/symbols/KRX-025860/,"3,612억"
롯데정밀화학,48550.0,-1.22%,68280.0,3340.0,63934.0,004000,https://kr.tradingview.com/symbols/KRX-004000/,"12,526억"
희림 *,4540.0,-1.30%,118157.0,533.0,619459.0,037440,https://kr.tradingview.com/symbols/KRX-037440/,632억
인지컨트롤스,7380.0,-1.34%,85528.0,634.0,131204.0,023800,https://kr.tradingview.com/symbols/KRX-023800/,"1,167억"
다스코,3790.0,-2.32%,5053804.0,20556.0,8149691.0,058730,https://kr.tradingview.com/symbols/KRX-058730/,716억
한국석유,15190.0,-2.50%,273986.0,4140.0,566604.0,004090,https://kr.tradingview.com/symbols/KRX-004090/,"1,928억"
녹십자,174300.0,-3.33%,57864.0,10151.0,113980.0,006280,https://kr.tradingview.com/symbols/KRX-006280/,"2,370억"
지엔씨에너지 *,37900.0,-3.56%,236191.0,9041.0,585995.0,119850,https://kr.tradingview.com/symbols/KRX-119850/,"6,234억"
재영솔루텍 *,4000.0,-4.08%,6358242.0,25552.0,4615163.0,049630,https://kr.tradingview.com/symbols/KRX-049630/,"4,676억"
