종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
코콤 *,3895.0,+11.44%,7607444.0,32627.0,39418.0,015710,https://kr.tradingview.com/symbols/KRX-015710/,683억
미디어젠 *,6760.0,+1.96%,4694.0,31.0,6411.0,279600,https://kr.tradingview.com/symbols/KRX-279600/,317억
파트론 *,7650.0,+0.26%,577906.0,4417.0,477372.0,091700,https://kr.tradingview.com/symbols/KRX-091700/,"4,208억"
파인디지털 *,3050.0,+0.16%,3502.0,11.0,12922.0,038950,https://kr.tradingview.com/symbols/KRX-038950/,311억
NAVER,252500.0,-1.17%,820046.0,207146.0,1404228.0,035420,https://kr.tradingview.com/symbols/KRX-035420/,"396,053억"
가온그룹 *,5720.0,-1.72%,145325.0,832.0,283564.0,078890,https://kr.tradingview.com/symbols/KRX-078890/,"1,054억"
셀바스AI *,11910.0,-2.22%,179776.0,2147.0,132567.0,108860,https://kr.tradingview.com/symbols/KRX-108860/,"3,206억"
카카오,57400.0,-2.38%,3156946.0,182410.0,7889505.0,035720,https://kr.tradingview.com/symbols/KRX-035720/,"254,056억"
현대에이치티 *,9560.0,-2.45%,57144.0,550.0,110033.0,039010,https://kr.tradingview.com/symbols/KRX-039010/,825억
현대모비스,435000.0,-2.47%,269181.0,117870.0,314889.0,012330,https://kr.tradingview.com/symbols/KRX-012330/,"394,687억"
브리지텍 *,7140.0,-5.80%,262048.0,1874.0,624314.0,064480,https://kr.tradingview.com/symbols/KRX-064480/,853억
