종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
태웅 *,32400.0,+7.64%,723898.0,23379.0,91863.0,044490,https://kr.tradingview.com/symbols/KRX-044490/,"6,482억"
에이텀 *,5260.0,+6.16%,102194.0,535.0,32555.0,355690,https://kr.tradingview.com/symbols/KRX-355690/,284억
티엠씨,15300.0,+4.15%,1075598.0,17032.0,203838.0,217590,https://kr.tradingview.com/symbols/KRX-217590/,"3,686억"
성광벤드 *,34250.0,+3.95%,796307.0,27600.0,104662.0,014620,https://kr.tradingview.com/symbols/KRX-014620/,"9,096억"
HD현대마린솔루션,171300.0,+2.94%,308260.0,53176.0,239795.0,443060,https://kr.tradingview.com/symbols/KRX-443060/,"76,796억"
삼미금속 *,16370.0,+2.38%,724896.0,11700.0,1399488.0,012210,https://kr.tradingview.com/symbols/KRX-012210/,"3,633억"
KS인더스트리 *,1184.0,+2.07%,622894.0,705.0,854016.0,101000,https://kr.tradingview.com/symbols/KRX-101000/,396억
조선선재,105300.0,+1.35%,3457.0,360.0,3095.0,120030,https://kr.tradingview.com/symbols/KRX-120030/,"1,324억"
세진중공업,18030.0,+0.78%,239203.0,4316.0,122251.0,075580,https://kr.tradingview.com/symbols/KRX-075580/,"1,250억"
태광 *,29050.0,+0.35%,270312.0,7839.0,201461.0,023160,https://kr.tradingview.com/symbols/KRX-023160/,"7,698억"
에스엔시스 *,32150.0,+0.31%,25230.0,809.0,29680.0,0008Z0,https://kr.tradingview.com/symbols/KRX-000080/,"12,708억"
SK오션플랜트,17930.0,+0.06%,482348.0,8746.0,275979.0,100090,https://kr.tradingview.com/symbols/KRX-100090/,"11,202억"
한국카본,34900.0,0.00%,481245.0,16941.0,384654.0,017960,https://kr.tradingview.com/symbols/KRX-017960/,"18,116억"
씨피시스템 *,4900.0,-0.31%,2118422.0,10629.0,1717176.0,413630,https://kr.tradingview.com/symbols/KRX-413630/,"1,785억"
에스앤더블류 *,3950.0,-0.38%,15522.0,61.0,18074.0,103230,https://kr.tradingview.com/symbols/KRX-103230/,284억
하이록코리아 *,33600.0,-0.59%,35559.0,1191.0,36077.0,013030,https://kr.tradingview.com/symbols/KRX-013030/,"3,954억"
한라IMS *,15010.0,-0.66%,38561.0,581.0,29027.0,092460,https://kr.tradingview.com/symbols/KRX-092460/,"2,568억"
STX엔진,32750.0,-0.91%,188949.0,6179.0,147944.0,077970,https://kr.tradingview.com/symbols/KRX-077970/,"13,148억"
일승 *,5630.0,-1.05%,116138.0,653.0,92798.0,333430,https://kr.tradingview.com/symbols/KRX-333430/,"1,730억"
케이에스피 *,3835.0,-1.16%,414291.0,1593.0,356584.0,073010,https://kr.tradingview.com/symbols/KRX-073010/,"1,541억"
HD현대마린엔진,82700.0,-1.19%,261482.0,21722.0,155081.0,071970,https://kr.tradingview.com/symbols/KRX-071970/,"28,053억"
케이프 *,10950.0,-1.62%,263961.0,2976.0,70631.0,064820,https://kr.tradingview.com/symbols/KRX-064820/,"3,384억"
현대힘스 *,16750.0,-1.70%,189012.0,3168.0,204288.0,460930,https://kr.tradingview.com/symbols/KRX-460930/,"5,948억"
한화엔진,54000.0,-1.82%,497403.0,26845.0,628654.0,082740,https://kr.tradingview.com/symbols/KRX-082740/,"45,061억"
인화정공 *,40850.0,-1.92%,5536.0,227.0,3158.0,101930,https://kr.tradingview.com/symbols/KRX-101930/,"3,772억"
동방선기 *,5600.0,-2.10%,71081.0,397.0,74929.0,099410,https://kr.tradingview.com/symbols/KRX-099410/,784억
엔케이,1081.0,-2.17%,445993.0,480.0,289329.0,085310,https://kr.tradingview.com/symbols/KRX-085310/,853억
비엠티 *,13210.0,-2.22%,205667.0,2708.0,2171730.0,086670,https://kr.tradingview.com/symbols/KRX-086670/,"1,311억"
대창솔루션 *,2175.0,-2.25%,315173.0,690.0,334111.0,096350,https://kr.tradingview.com/symbols/KRX-096350/,802억
오리엔탈정공 *,7750.0,-2.39%,269155.0,2091.0,143501.0,014940,https://kr.tradingview.com/symbols/KRX-014940/,"3,532억"
화인베스틸,1505.0,-2.53%,145968.0,220.0,106999.0,133820,https://kr.tradingview.com/symbols/KRX-133820/,559억
범한퓨얼셀 *,30650.0,-2.70%,64589.0,1978.0,85098.0,382900,https://kr.tradingview.com/symbols/KRX-382900/,"2,685억"
대양전기공업 *,29800.0,-3.25%,44163.0,1325.0,127021.0,108380,https://kr.tradingview.com/symbols/KRX-108380/,"2,851억"
삼영엠텍 *,13320.0,-3.34%,178108.0,2385.0,140840.0,054540,https://kr.tradingview.com/symbols/KRX-054540/,"1,732억"
동성화인텍 *,27750.0,-3.48%,833767.0,23191.0,197722.0,033500,https://kr.tradingview.com/symbols/KRX-033500/,"8,322억"
