종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
아톤 *,7850.0,+3.84%,3940300.0,31706.0,311234.0,158430,https://kr.tradingview.com/symbols/KRX-158430/,"1,922억"
헥토이노베이션 *,24600.0,+2.07%,447294.0,10862.0,990411.0,214180,https://kr.tradingview.com/symbols/KRX-214180/,"3,196억"
파수 *,3940.0,+1.16%,30709.0,119.0,20678.0,150900,https://kr.tradingview.com/symbols/KRX-150900/,461억
NICE평가정보,17700.0,+0.91%,81343.0,1451.0,76779.0,030190,https://kr.tradingview.com/symbols/KRX-030190/,"1,427억"
아이티아이즈 *,5030.0,+0.20%,40829.0,206.0,32688.0,372800,https://kr.tradingview.com/symbols/KRX-372800/,354억
파이오링크 *,8450.0,-0.24%,14806.0,124.0,17660.0,170790,https://kr.tradingview.com/symbols/KRX-170790/,541억
쿠콘 *,33050.0,-0.45%,29322.0,964.0,23034.0,294570,https://kr.tradingview.com/symbols/KRX-294570/,"3,335억"
NAVER,252500.0,-1.17%,820046.0,207146.0,1404228.0,035420,https://kr.tradingview.com/symbols/KRX-035420/,"396,053억"
핑거 *,11940.0,-1.73%,181413.0,2199.0,66833.0,163730,https://kr.tradingview.com/symbols/KRX-163730/,"1,123억"
유비벨록스 *,5520.0,-1.78%,28321.0,157.0,39544.0,089850,https://kr.tradingview.com/symbols/KRX-089850/,813억
세종텔레콤 *,7910.0,-4.47%,25187.0,200.0,18254.0,036630,https://kr.tradingview.com/symbols/KRX-036630/,791억
