종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
성창기업지주,1699.0,+8.77%,1474574.0,2529.0,284414.0,000180,https://kr.tradingview.com/symbols/KRX-000180/,"1,185억"
SK,349500.0,+2.04%,370213.0,131795.0,296732.0,034730,https://kr.tradingview.com/symbols/KRX-034730/,"253,397억"
효성오앤비 *,6290.0,+0.16%,45884.0,287.0,38399.0,097870,https://kr.tradingview.com/symbols/KRX-097870/,534억
무림P&P,2450.0,0.00%,51597.0,126.0,67532.0,009580,https://kr.tradingview.com/symbols/KRX-009580/,"1,528억"
제이씨케미칼 *,3340.0,0.00%,42601.0,141.0,41523.0,137950,https://kr.tradingview.com/symbols/KRX-137950/,744억
동신건설 *,18600.0,-0.43%,76401.0,1425.0,157447.0,025950,https://kr.tradingview.com/symbols/KRX-025950/,"1,562억"
이건산업,4605.0,-1.39%,39712.0,182.0,56773.0,008250,https://kr.tradingview.com/symbols/KRX-008250/,504억
SUN&L,2430.0,-1.42%,8937.0,21.0,35861.0,002820,https://kr.tradingview.com/symbols/KRX-002820/,306억
한솔홈데코,623.0,-2.04%,471568.0,294.0,453949.0,025750,https://kr.tradingview.com/symbols/KRX-025750/,502억
이건홀딩스 *,3675.0,-2.39%,188658.0,696.0,355114.0,039020,https://kr.tradingview.com/symbols/KRX-039020/,830억
자연과환경 *,592.0,-3.58%,2179790.0,1283.0,670833.0,043910,https://kr.tradingview.com/symbols/KRX-043910/,671억
