종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
코미팜 *,9550.0,+13.02%,1877160.0,17519.0,266982.0,041960,https://kr.tradingview.com/symbols/KRX-041960/,"7,056억"
셀레믹스 *,4945.0,+12.51%,839359.0,4233.0,456007.0,331920,https://kr.tradingview.com/symbols/KRX-331920/,404억
진바이오텍 *,5030.0,+5.45%,3984898.0,21717.0,3372041.0,086060,https://kr.tradingview.com/symbols/KRX-086060/,433억
이지홀딩스 *,5640.0,+2.55%,347158.0,1937.0,259461.0,035810,https://kr.tradingview.com/symbols/KRX-035810/,"3,639억"
이글벳 *,4385.0,+0.92%,815734.0,3617.0,175034.0,044960,https://kr.tradingview.com/symbols/KRX-044960/,554억
중앙백신 *,9700.0,+0.73%,69751.0,675.0,23674.0,072020,https://kr.tradingview.com/symbols/KRX-072020/,917억
선진,12820.0,+0.55%,136394.0,1731.0,169711.0,136490,https://kr.tradingview.com/symbols/KRX-136490/,"3,049억"
대성미생물 *,7390.0,+0.54%,56867.0,421.0,36032.0,036480,https://kr.tradingview.com/symbols/KRX-036480/,281억
동우팜투테이블 *,2215.0,+0.23%,42051.0,92.0,40514.0,088910,https://kr.tradingview.com/symbols/KRX-088910/,572억
전진바이오팜 *,2360.0,+0.21%,26852.0,62.0,10980.0,110020,https://kr.tradingview.com/symbols/KRX-110020/,214억
하림 *,3215.0,0.00%,660602.0,2117.0,883080.0,136480,https://kr.tradingview.com/symbols/KRX-136480/,"3,415억"
한일사료 *,3100.0,-0.16%,161050.0,497.0,230752.0,005860,https://kr.tradingview.com/symbols/KRX-005860/,"1,222억"
옵티팜 *,5430.0,-0.18%,35203.0,190.0,33247.0,153710,https://kr.tradingview.com/symbols/KRX-153710/,797억
우성,19530.0,-0.31%,6047.0,118.0,14449.0,006980,https://kr.tradingview.com/symbols/KRX-006980/,603억
정다운 *,2615.0,-0.38%,67992.0,177.0,89415.0,208140,https://kr.tradingview.com/symbols/KRX-208140/,855억
윙입푸드 *,705.0,-0.56%,204369.0,144.0,149458.0,900340,https://kr.tradingview.com/symbols/KRX-900340/,355억
팜스토리 *,1167.0,-0.68%,389546.0,453.0,376347.0,027710,https://kr.tradingview.com/symbols/KRX-027710/,"1,300억"
태경비케이,4670.0,-0.74%,165653.0,770.0,65182.0,014580,https://kr.tradingview.com/symbols/KRX-014580/,"1,288억"
미래생명자원 *,3040.0,-0.82%,71828.0,218.0,89699.0,218150,https://kr.tradingview.com/symbols/KRX-218150/,621억
강동씨앤엘 *,1105.0,-0.90%,67481.0,73.0,52517.0,198440,https://kr.tradingview.com/symbols/KRX-198440/,673억
우리손에프앤지 *,1744.0,-1.13%,340635.0,591.0,180334.0,073560,https://kr.tradingview.com/symbols/KRX-073560/,"1,208억"
체시스,1024.0,-1.16%,493856.0,510.0,125237.0,033250,https://kr.tradingview.com/symbols/KRX-033250/,328억
씨티씨바이오 *,4195.0,-1.18%,87880.0,366.0,63638.0,060590,https://kr.tradingview.com/symbols/KRX-060590/,"1,014억"
대한뉴팜 *,6670.0,-1.48%,29530.0,197.0,47399.0,054670,https://kr.tradingview.com/symbols/KRX-054670/,957억
신라에스지 *,5130.0,-1.91%,23735.0,121.0,10476.0,025870,https://kr.tradingview.com/symbols/KRX-025870/,205억
우진비앤지 *,819.0,-1.92%,197414.0,162.0,189835.0,018620,https://kr.tradingview.com/symbols/KRX-018620/,237억
팜스코,4000.0,-1.96%,266433.0,1052.0,1608562.0,036580,https://kr.tradingview.com/symbols/KRX-036580/,"1,469억"
이지바이오 *,7560.0,-2.07%,150051.0,1131.0,595158.0,353810,https://kr.tradingview.com/symbols/KRX-353810/,"2,501억"
마니커,780.0,-2.26%,470515.0,367.0,342797.0,027740,https://kr.tradingview.com/symbols/KRX-027740/,495억
파루 *,973.0,-4.51%,1420420.0,1393.0,1198049.0,043200,https://kr.tradingview.com/symbols/KRX-043200/,407억
세니젠 *,1772.0,-7.32%,76708.0,139.0,42554.0,188260,https://kr.tradingview.com/symbols/KRX-188260/,128억
