종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
신한서부티엔디리츠,4075.0,+2.64%,124087.0,499.0,144833.0,404990,https://kr.tradingview.com/symbols/KRX-404990/,"2,408억"
신한글로벌액티브리츠,1316.0,+2.41%,180591.0,235.0,97015.0,481850,https://kr.tradingview.com/symbols/KRX-481850/,572억
이지스레지던스리츠,3870.0,+1.98%,99192.0,381.0,159436.0,350520,https://kr.tradingview.com/symbols/KRX-350520/,"1,427억"
삼성FN리츠,5140.0,+1.38%,98107.0,500.0,108827.0,448730,https://kr.tradingview.com/symbols/KRX-448730/,"4,680억"
NH프라임리츠,4565.0,+1.33%,151445.0,689.0,94503.0,338100,https://kr.tradingview.com/symbols/KRX-338100/,852억
한화리츠,4850.0,+1.04%,191417.0,930.0,166408.0,451800,https://kr.tradingview.com/symbols/KRX-451800/,"8,711억"
마스턴프리미어리츠,1604.0,+1.01%,46645.0,74.0,48246.0,357430,https://kr.tradingview.com/symbols/KRX-357430/,489억
코람코라이프인프라리츠,4660.0,+0.98%,149113.0,690.0,116174.0,357120,https://kr.tradingview.com/symbols/KRX-357120/,"4,536억"
이지스밸류플러스리츠,4290.0,+0.94%,278490.0,1194.0,254879.0,334890,https://kr.tradingview.com/symbols/KRX-334890/,"2,979억"
이리츠코크렙,4745.0,+0.85%,76608.0,363.0,90009.0,088260,https://kr.tradingview.com/symbols/KRX-088260/,"3,006억"
신한알파리츠,6030.0,+0.84%,346117.0,2074.0,347146.0,293940,https://kr.tradingview.com/symbols/KRX-293940/,"7,293억"
코람코더원리츠,8960.0,+0.67%,160987.0,1444.0,105066.0,417310,https://kr.tradingview.com/symbols/KRX-417310/,"3,620억"
디앤디플랫폼리츠,3300.0,+0.15%,238767.0,783.0,533116.0,377190,https://kr.tradingview.com/symbols/KRX-377190/,"2,917억"
ESR켄달스퀘어리츠,4445.0,+0.11%,483341.0,2155.0,241444.0,365550,https://kr.tradingview.com/symbols/KRX-365550/,"1,939억"
케이탑리츠,915.0,+0.11%,72030.0,65.0,42790.0,145270,https://kr.tradingview.com/symbols/KRX-145270/,440억
미래에셋맵스리츠,2535.0,0.00%,52255.0,132.0,37349.0,357250,https://kr.tradingview.com/symbols/KRX-357250/,634억
미래에셋글로벌리츠,2590.0,0.00%,50406.0,130.0,58698.0,396690,https://kr.tradingview.com/symbols/KRX-396690/,"1,026억"
롯데리츠,4575.0,-0.11%,241085.0,1103.0,343659.0,330590,https://kr.tradingview.com/symbols/KRX-330590/,"13,220억"
대신밸류리츠,4540.0,-0.33%,25479.0,116.0,23709.0,0030R0,https://kr.tradingview.com/symbols/KRX-000300/,"1,740억"
NH올원리츠,3315.0,-0.45%,217238.0,718.0,142639.0,400760,https://kr.tradingview.com/symbols/KRX-400760/,"1,821억"
SK리츠,5610.0,-0.88%,341484.0,1920.0,364675.0,395400,https://kr.tradingview.com/symbols/KRX-395400/,"16,887억"
제이알글로벌리츠,2125.0,-1.16%,2166040.0,4536.0,5358514.0,348950,https://kr.tradingview.com/symbols/KRX-348950/,"4,194억"
KB스타리츠,3335.0,-4.30%,308910.0,1042.0,225614.0,432320,https://kr.tradingview.com/symbols/KRX-432320/,"3,382억"
