종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
아세아제지,9460.0,+4.88%,452339.0,4237.0,810303.0,002310,https://kr.tradingview.com/symbols/KRX-002310/,"3,830억"
페이퍼코리아,596.0,+1.88%,215964.0,129.0,80336.0,001020,https://kr.tradingview.com/symbols/KRX-001020/,"1,061억"
한솔제지,8920.0,+0.56%,111184.0,984.0,140936.0,213500,https://kr.tradingview.com/symbols/KRX-213500/,"2,123억"
한국제지,785.0,+0.26%,79000.0,61.0,58002.0,027970,https://kr.tradingview.com/symbols/KRX-027970/,"1,493억"
무림페이퍼,1966.0,0.00%,110245.0,216.0,51826.0,009200,https://kr.tradingview.com/symbols/KRX-009200/,818억
무림P&P,2450.0,0.00%,51597.0,126.0,67532.0,009580,https://kr.tradingview.com/symbols/KRX-009580/,"1,528억"
한창제지,519.0,-0.38%,100402.0,51.0,140115.0,009460,https://kr.tradingview.com/symbols/KRX-009460/,310억
무림SP *,1438.0,-0.42%,11585.0,17.0,48911.0,001810,https://kr.tradingview.com/symbols/KRX-001810/,318억
삼정펄프,35350.0,-0.42%,2653.0,93.0,9300.0,009770,https://kr.tradingview.com/symbols/KRX-009770/,884억
한국수출포장,3235.0,-0.46%,103640.0,336.0,215855.0,002200,https://kr.tradingview.com/symbols/KRX-002200/,"1,294억"
깨끗한나라,1900.0,-0.73%,48228.0,91.0,78359.0,004540,https://kr.tradingview.com/symbols/KRX-004540/,708억
해성산업 *,8420.0,-1.41%,33999.0,288.0,41072.0,034810,https://kr.tradingview.com/symbols/KRX-034810/,"2,741억"
신풍,1258.0,-1.49%,275780.0,341.0,995723.0,002870,https://kr.tradingview.com/symbols/KRX-002870/,440억
국일제지 *,334.0,-4.84%,3065483.0,1027.0,1030155.0,078130,https://kr.tradingview.com/symbols/KRX-078130/,"3,766억"
